%310
@RELATION PLMSTPL00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
219,898.91,48306.55,1881.25,49124.78,117.77,117.77,0.02,17.77,17.77
220,903.85,48862.88,1886.72,49700.18,1217.77,1217.77,0.21,17.77,17.77
221,909.96,49125.36,1893.84,49994.77,25717.77,417.77,4.45,17.77,17.77
222,?,?,?,?,?,?,?,17.77,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1919.56,50476.37,2917.77,317.77,0.52,?,17.77
225,922.16,49747.66,1936.51,50646.05,3217.80,3217.80,0.56,17.77,17.80
226,928.58,50223.95,1962.38,51152.95,53117.90,517.90,9.20,17.80,17.90
227,?,?,?,?,?,?,?,17.90,?
228,928.83,49976.48,1966.79,50906.11,217.50,217.50,0.04,?,17.50
229,?,?,?,?,?,?,?,17.50,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1945.70,50713.14,83018.02,918.02,14.37,?,18.02
232,914.58,49162.16,1917.73,50077.30,17117.99,317.99,3.03,18.02,17.99
233,920.30,49128.05,1916.46,50032.45,2817.99,2617.99,0.49,17.99,17.99
234,931.73,49846.48,1919.07,50780.47,4217.99,317.99,0.73,17.99,17.99
235,930.27,49895.10,1931.18,50836.47,31017.80,17117.80,5.54,17.99,17.80
236,?,?,?,?,?,?,?,17.80,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1930.40,50756.86,017.80,017.80,0.00,?,17.80
239,921.40,48833.58,1906.94,49731.02,190917.70,1917.70,33.04,17.80,17.70
240,919.00,48537.65,1893.65,49421.50,26117.76,1417.76,4.52,17.70,17.76
241,924.88,48676.45,1898.85,49569.11,2517.75,2417.75,0.44,17.76,17.75
242,925.91,48871.98,1888.37,49771.98,217.74,217.74,0.04,17.75,17.74
243,?,?,?,?,?,?,?,17.74,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1867.21,50099.55,202617.30,817.30,35.05,?,17.30
246,926.93,48968.87,1863.87,49861.54,15317.30,417.30,2.65,17.30,17.30
247,918.91,47919.09,1824.69,48781.63,26616.99,516.99,4.55,17.30,16.99
248,890.19,45830.66,1761.23,46598.42,85116.80,616.80,14.26,16.99,16.80
249,902.70,46717.04,1820.13,47514.09,64716.75,416.75,10.84,16.80,16.75
250,?,?,?,?,?,?,?,16.75,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1848.42,48651.54,3216.85,2316.85,0.54,?,16.85
253,931.39,48961.51,1921.50,49839.90,16917.80,16817.80,3.00,16.85,17.80
254,934.25,49437.02,1935.28,50312.63,109117.62,1817.62,19.68,17.80,17.62
255,943.52,49771.55,1981.13,50644.38,5717.70,1717.70,1.00,17.62,17.70
256,948.06,49348.61,1986.17,50196.31,49017.40,317.40,8.53,17.70,17.40
257,?,?,?,?,?,?,?,17.40,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1997.16,49741.35,1316.91,116.91,0.22,?,16.91
260,960.97,49434.46,1994.79,50258.11,12116.92,12116.92,2.05,16.91,16.92
261,957.28,49413.33,1985.11,50227.43,191616.20,4516.20,32.33,16.92,16.20
262,963.32,50300.53,2000.89,51171.25,68316.79,1116.79,11.18,16.20,16.79
263,962.49,50308.19,2005.00,51202.75,6116.42,416.42,1.00,16.79,16.42
264,?,?,?,?,?,?,?,16.42,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1988.08,50869.00,116.43,116.43,0.02,?,16.43
267,957.44,49979.47,1972.58,50887.67,016.43,016.43,0.00,16.43,16.43
268,961.02,50301.69,1979.81,51221.45,3016.70,1216.70,0.50,16.43,16.70
269,969.92,50936.34,1986.14,51846.54,171316.43,816.43,28.79,16.70,16.43
270,977.10,50819.81,1999.08,51704.53,216.43,216.43,0.03,16.43,16.43
271,?,?,?,?,?,?,?,16.43,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,2010.06,51191.50,77316.20,1316.20,12.87,?,16.20
274,984.17,50782.48,2007.69,51691.24,5516.50,1116.50,0.91,16.20,16.50
275,987.01,50803.40,2016.99,51709.58,4216.73,316.73,0.69,16.50,16.73
276,988.62,50982.03,2073.65,51911.61,116.70,116.70,0.02,16.73,16.70
277,992.25,50601.24,2097.98,51511.63,19616.70,716.70,3.27,16.70,16.70
278,?,?,?,?,?,?,?,16.70,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,2120.60,51239.47,41716.90,716.90,6.95,?,16.90
281,993.38,50137.88,2131.10,51021.26,17816.75,1316.75,2.95,16.90,16.75
282,996.97,50335.02,2126.57,51215.99,61816.35,1416.35,10.10,16.75,16.35
283,1011.15,51806.83,2150.38,52744.48,43216.20,416.20,7.04,16.35,16.20
284,1024.81,52230.47,2175.63,53193.87,10116.50,10116.50,1.64,16.20,16.50
285,?,?,?,?,?,?,?,16.50,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,2196.86,53498.97,11016.50,1316.50,1.82,?,16.50
288,1039.64,52590.73,2249.42,53588.87,43717.00,11117.00,7.43,16.50,17.00
289,1036.86,52861.41,2267.93,53918.41,2216.80,916.80,0.37,17.00,16.80
290,1049.92,52573.59,2280.53,53571.90,20116.77,516.77,3.47,16.80,16.77
291,1051.86,52587.24,2320.78,53572.92,73116.53,12816.53,12.22,16.77,16.53
292,?,?,?,?,?,?,?,16.53,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,2342.90,54903.39,71616.53,416.53,11.84,?,16.53
295,1078.51,53781.81,2351.77,54818.06,36017.00,7117.00,6.07,16.53,17.00
296,1074.66,53389.74,2357.93,54433.41,107617.24,2217.24,18.58,17.00,17.24
297,1083.34,53994.46,2411.97,55063.75,63017.65,2017.65,11.13,17.24,17.65
298,1095.80,53887.13,2452.72,55023.42,96519.00,8819.00,17.42,17.65,19.00
299,?,?,?,?,?,?,?,19.00,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,2458.33,55362.19,3318.99,918.99,0.63,?,18.99
302,1114.63,54536.95,2476.37,55688.45,62019.15,1219.15,11.92,18.99,19.15
303,1107.62,54095.32,2472.94,55240.01,128818.70,1118.70,24.30,19.15,18.70
304,1109.36,53607.86,2475.98,54734.18,11018.50,318.50,2.04,18.70,18.50
305,?,?,?,?,?,?,?,18.50,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,2482.39,55121.60,506,9,9.01,?,17.80
309,1101.37,53504.47,2450.55,54600.05,469,6,8.12,17.80,17.00
310,1106.35,53924.01,2477.66,55035.36,444,7,7.61,17.00,17.50
340,991.5027484429278,45857.110734846676,2077.6816212987255,47106.0108522239,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,2130.4556810728736,47398.32393415799,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,2183.229740847022,47690.63701609208,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,2341.551920169468,48567.57626189435,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,2658.1962788143587,50321.45475349891,?,?,?,?,?,? 
