%310
@RELATION LU0627170920
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
255,943.52,49771.55,847.48,368170.59,180.59,21.38,0.58,0.59
256,948.06,49348.61,847.60,622610.60,250.60,36.89,0.59,0.60
257,?,?,?,?,?,?,0.60,?
258,?,?,?,?,?,?,?,?
259,956.00,48917.85,844.92,206910.59,160.59,12.01,?,0.59
260,960.97,49434.46,849.85,360910.59,190.59,21.16,0.59,0.59
261,957.28,49413.33,847.56,4996950.62,1200.62,310.57,0.59,0.62
262,963.32,50300.53,842.09,3409900.63,750.63,216.47,0.62,0.63
263,962.49,50308.19,841.39,201150.64,150.64,12.65,0.63,0.64
264,?,?,?,?,?,?,0.64,?
265,?,?,?,?,?,?,?,?
266,959.46,49955.87,831.22,538430.61,320.61,33.26,?,0.61
267,957.44,49979.47,833.19,420690.61,190.61,25.60,0.61,0.61
268,961.02,50301.69,833.30,793230.63,190.63,48.20,0.61,0.63
269,969.92,50936.34,846.31,11353320.68,3310.68,774.34,0.63,0.68
270,977.10,50819.81,846.91,1139370.68,670.68,75.90,0.68,0.68
271,?,?,?,?,?,?,0.68,?
272,?,?,?,?,?,?,?,?
273,983.39,50301.85,849.49,659120.70,410.70,45.81,?,0.70
274,984.17,50782.48,855.03,349850.70,320.70,24.28,0.70,0.70
275,987.01,50803.40,852.55,928010.74,520.74,67.17,0.70,0.74
276,988.62,50982.03,848.01,1012840.75,680.75,76.18,0.74,0.75
277,992.25,50601.24,847.22,343070.75,270.75,25.25,0.75,0.75
278,?,?,?,?,?,?,0.75,?
279,?,?,?,?,?,?,?,?
280,995.75,50338.71,848.45,1140560.72,560.72,82.69,?,0.72
281,993.38,50137.88,853.05,635760.70,350.70,44.33,0.72,0.70
282,996.97,50335.02,858.02,297730.69,270.69,20.16,0.70,0.69
283,1011.15,51806.83,862.39,526670.66,360.66,35.78,0.69,0.66
284,1024.81,52230.47,862.70,6069750.71,1180.71,429.27,0.66,0.71
285,?,?,?,?,?,?,0.71,?
286,?,?,?,?,?,?,?,?
287,1029.64,52520.91,860.18,2815780.69,1110.69,202.16,?,0.69
288,1039.64,52590.73,855.88,647570.70,450.70,46.21,0.69,0.70
289,1036.86,52861.41,844.25,1012630.70,400.70,70.87,0.70,0.70
290,1049.92,52573.59,855.32,363650.70,210.70,25.98,0.70,0.70
291,1051.86,52587.24,849.56,321350.71,220.71,22.86,0.70,0.71
292,?,?,?,?,?,?,0.71,?
293,?,?,?,?,?,?,?,?
294,1066.25,53853.55,846.22,406160.69,220.69,28.81,?,0.69
295,1078.51,53781.81,846.38,296230.70,150.70,20.95,0.69,0.70
296,1074.66,53389.74,823.65,56790.72,60.72,4.00,0.70,0.72
297,1083.34,53994.46,822.54,561490.72,280.72,39.46,0.72,0.72
298,1095.80,53887.13,808.48,528110.71,270.71,37.30,0.72,0.71
299,?,?,?,?,?,?,0.71,?
300,?,?,?,?,?,?,?,?
301,1105.65,54180.04,809.15,415090.71,340.71,28.63,?,0.71
302,1114.63,54536.95,813.37,797730.70,450.70,55.87,0.71,0.70
303,1107.62,54095.32,806.76,1216050.71,780.71,88.67,0.70,0.71
304,1109.36,53607.86,799.19,480840.72,310.72,34.06,0.71,0.72
305,?,?,?,?,?,?,0.72,?
306,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?
308,1108.16,53989.37,801.72,103996,39,72.46,?,0.71
309,1101.37,53504.47,799.00,22686,13,15.88,0.71,0.71
310,1106.35,53924.01,804.57,59099,28,40.73,0.71,0.70
340,991.5027484429278,45857.110734846676,772.4384498456855,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,764.8922210495718,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,757.345992253458,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,734.7073058651168,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,689.4299330884348,?,?,?,?,?,? 
