%310
@RELATION PLPTRLI00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
245,3129.09,49187.22,3589.78,50099.55,3230.20,176654410.18,11680.18,3370.35,?,0.18
246,3139.25,48968.87,3562.73,49861.54,3226.75,170546610.18,11680.18,2767.34,0.18,0.18
247,3092.12,47919.09,3499.00,48781.63,3174.71,132000380.18,8050.18,2416.51,0.18,0.18
248,2958.80,45830.66,3330.71,46598.42,3061.25,67658050.18,4390.18,1186.15,0.18,0.18
249,3043.50,46717.04,3349.10,47514.09,3142.61,211016640.16,9900.16,3413.42,0.18,0.16
250,?,?,?,?,?,?,?,?,0.16,?
251,?,?,?,?,?,?,?,?,?,?
252,3124.36,47808.90,3395.43,48651.54,3199.68,31289770.16,2310.16,489.98,?,0.16
253,3166.39,48961.51,3555.79,49839.90,3256.85,94843050.17,4200.17,1582.54,0.16,0.17
254,3194.64,49437.02,3620.41,50312.63,3285.29,229558770.19,9790.19,4112.92,0.17,0.19
255,3213.18,49771.55,3583.38,50644.38,3303.55,79951740.21,5990.21,1599.69,0.19,0.21
256,3183.67,49348.61,3528.76,50196.31,3285.49,106228170.19,6480.19,2043.24,0.21,0.19
257,?,?,?,?,?,?,?,?,0.19,?
258,?,?,?,?,?,?,?,?,?,?
259,3135.12,48917.85,3502.71,49741.35,3260.05,88029880.18,5180.18,1566.87,?,0.18
260,3156.03,49434.46,3532.44,50258.11,3286.61,33844350.19,2310.19,614.52,0.18,0.19
261,3157.83,49413.33,3530.66,50227.43,3277.41,81589220.17,4750.17,1457.54,0.19,0.17
262,3222.54,50300.53,3606.30,51171.25,3316.59,23245150.18,1690.18,405.09,0.17,0.18
263,3229.62,50308.19,3620.72,51202.75,3316.08,53034480.18,2540.18,951.61,0.18,0.18
264,?,?,?,?,?,?,?,?,0.18,?
265,?,?,?,?,?,?,?,?,?,?
