%310
@RELATION PLHOGA000041
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
283,51806.83,1352.10,52744.48,3454.41,765832.45,972.45,184.70,2.39,2.45
284,52230.47,1345.83,53193.87,3477.04,396062.42,402.42,95.77,2.45,2.42
285,?,?,?,?,?,?,?,2.42,?
286,?,?,?,?,?,?,?,?,?
287,52520.91,1348.18,53498.97,3508.85,1012222.49,1102.49,247.83,?,2.49
288,52590.73,1382.18,53588.87,3544.07,752292.46,792.46,186.03,2.49,2.46
289,52861.41,1368.16,53918.41,3548.14,332152.43,502.43,80.66,2.46,2.43
290,52573.59,1375.02,53571.90,3572.96,1874742.52,1552.52,467.50,2.43,2.52
291,52587.24,1361.11,53572.92,3535.97,2763102.54,2642.54,711.24,2.52,2.54
292,?,?,?,?,?,?,?,2.54,?
293,?,?,?,?,?,?,?,?,?
294,53853.55,1389.98,54903.39,3606.06,5649052.72,3902.72,1506.88,?,2.72
295,53781.81,1383.79,54818.06,3615.60,2384892.74,2032.74,648.13,2.72,2.74
296,53389.74,1387.21,54433.41,3596.10,662172.65,1122.65,175.15,2.74,2.65
297,53994.46,1392.05,55063.75,3637.76,2464172.78,1982.78,680.40,2.65,2.78
298,53887.13,1408.73,55023.42,3651.19,2276802.83,1782.83,639.21,2.78,2.83
299,?,?,?,?,?,?,?,2.83,?
300,?,?,?,?,?,?,?,?,?
301,54180.04,1424.20,55362.19,3660.45,1055732.77,772.77,297.77,?,2.77
302,54536.95,1415.96,55688.45,3688.57,418922.77,602.77,116.23,2.77,2.77
303,54095.32,1435.46,55240.01,3660.80,1320032.71,1412.71,356.57,2.77,2.71
304,53607.86,1416.41,54734.18,3628.73,801022.66,612.66,215.45,2.71,2.66
305,?,?,?,?,?,?,?,2.66,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,53989.37,1446.55,55121.60,3668.56,111928,84,296.44,?,2.66
309,53504.47,1441.92,54600.05,3645.18,72877,76,190.58,2.66,2.61
310,53924.01,1445.73,55035.36,3650.27,22945,35,61.01,2.61,2.68
340,45857.110734846676,1298.5945247741247,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,46189.882480874876,1325.4888178463666,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,46522.654226903076,1352.3831109186085,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,47520.969464987684,1433.0659901353345,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,49517.5999411569,1594.4317485687864,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
