%310
@RELATION PLATLNT00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
184,11736.24,45184.98,45899.36,403580.09,60.09,3.85,0.10,0.09
185,11820.50,45613.75,46344.42,1117330.10,210.10,11.05,0.09,0.10
186,11822.63,45110.89,45805.34,185000.10,30.10,1.79,0.10,0.10
187,?,?,?,?,?,?,0.10,?
188,?,?,?,?,?,?,?,?
189,11711.98,44534.34,45172.40,367240.10,30.10,3.66,?,0.10
190,11610.73,44342.23,44969.23,2526960.10,170.10,23.36,0.10,0.10
191,11643.94,45068.55,45727.71,333670.10,90.10,3.00,0.10,0.10
192,11739.32,45712.72,46390.36,1044870.10,190.10,9.64,0.10,0.10
193,11784.60,46150.78,46839.89,190860.09,50.09,1.91,0.10,0.09
194,?,?,?,?,?,?,0.09,?
195,?,?,?,?,?,?,?,?
196,11770.78,46218.05,46922.43,2181810.10,120.10,19.64,?,0.10
197,11753.20,46155.10,46860.35,1389000.09,140.09,12.51,0.10,0.09
198,11768.81,46287.08,47003.76,1284990.10,150.10,12.11,0.09,0.10
199,11813.42,46221.23,46919.83,100.10,10.10,0.00,0.10,0.10
200,11837.95,46399.74,47120.88,8538700.10,680.10,76.92,0.10,0.10
201,?,?,?,?,?,?,0.10,?
202,?,?,?,?,?,?,?,?
203,11864.19,46361.70,47075.43,1113970.10,150.10,10.10,?,0.10
204,11905.16,46714.43,47454.90,3635210.10,290.10,34.93,0.10,0.10
205,11975.99,46835.98,47575.74,693960.10,80.10,6.25,0.10,0.10
206,11939.68,46713.02,47446.69,320090.10,50.10,2.88,0.10,0.10
207,11930.54,46258.91,46981.22,1083800.09,90.09,9.81,0.10,0.09
208,?,?,?,?,?,?,0.09,?
209,?,?,?,?,?,?,?,?
210,11917.93,46480.62,47214.30,3903710.10,370.10,35.13,?,0.10
211,11914.45,46663.41,47398.08,1326460.10,170.10,11.99,0.10,0.10
212,11934.08,46925.65,47676.43,1727820.10,240.10,15.55,0.10,0.10
213,12025.60,47370.81,48147.76,2229440.10,280.10,19.90,0.10,0.10
214,12096.51,48325.33,49133.14,870.10,10.10,0.01,0.10,0.10
215,?,?,?,?,?,?,0.10,?
216,?,?,?,?,?,?,?,?
217,12181.61,48458.44,49272.86,1641630.10,150.10,15.09,?,0.10
218,12213.07,47942.81,48742.34,211780.10,40.10,1.93,0.10,0.10
219,12294.72,48306.55,49124.78,1471060.10,130.10,14.34,0.10,0.10
220,12425.78,48862.88,49700.18,245010.09,60.09,2.27,0.10,0.09
221,12524.35,49125.36,49994.77,304080.09,100.09,2.80,0.09,0.09
222,?,?,?,?,?,?,0.09,?
223,?,?,?,?,?,?,?,?
224,12613.68,49580.16,50476.37,968600.10,160.10,8.80,?,0.10
225,12783.95,49747.66,50646.05,236250.10,50.10,2.26,0.10,0.10
226,12961.14,50223.95,51152.95,1088450.10,160.10,10.87,0.10,0.10
227,?,?,?,?,?,?,0.10,?
228,12933.31,49976.48,50906.11,482200.09,30.09,4.35,?,0.09
229,?,?,?,?,?,?,0.09,?
230,?,?,?,?,?,?,?,?
231,12877.73,49772.46,50713.14,44450040.10,1690.10,443.81,?,0.10
232,12831.52,49162.16,50077.30,7740050.10,530.10,78.33,0.10,0.10
233,12826.21,49128.05,50032.45,2902400.10,130.10,28.88,0.10,0.10
234,12985.38,49846.48,50780.47,545220.10,60.10,5.02,0.10,0.10
235,13050.37,49895.10,50836.47,618630.10,100.10,6.10,0.10,0.10
236,?,?,?,?,?,?,0.10,?
237,?,?,?,?,?,?,?,?
238,13056.86,49818.48,50756.86,3538370.09,230.09,31.85,?,0.09
239,12781.02,48833.58,49731.02,609050.10,60.10,5.48,0.09,0.10
240,12706.26,48537.65,49421.50,1281210.09,100.09,11.55,0.10,0.09
241,12801.41,48676.45,49569.11,1723130.10,100.10,16.05,0.09,0.10
242,12801.04,48871.98,49771.98,554100.10,140.10,5.08,0.10,0.10
243,?,?,?,?,?,?,0.10,?
244,?,?,?,?,?,?,?,?
245,12870.44,49187.22,50099.55,2203340.10,170.10,21.80,?,0.10
246,12843.19,48968.87,49861.54,3023410.10,220.10,27.73,0.10,0.10
247,12637.81,47919.09,48781.63,944970.10,110.10,8.50,0.10,0.10
248,12178.22,45830.66,46598.42,13010390.09,690.09,117.10,0.10,0.09
249,12457.22,46717.04,47514.09,5070300.10,170.10,46.16,0.09,0.10
250,?,?,?,?,?,?,0.10,?
251,?,?,?,?,?,?,?,?
252,12726.39,47808.90,48651.54,1248690.10,40.10,11.40,?,0.10
253,12962.91,48961.51,49839.90,579490.10,130.10,5.45,0.10,0.10
254,12983.95,49437.02,50312.63,1569710.10,160.10,14.41,0.10,0.10
255,13011.41,49771.55,50644.38,265200.10,70.10,2.53,0.10,0.10
256,12998.59,49348.61,50196.31,767350.10,50.10,7.36,0.10,0.10
257,?,?,?,?,?,?,0.10,?
258,?,?,?,?,?,?,?,?
259,13003.37,48917.85,49741.35,361550.10,120.10,3.25,?,0.10
260,13085.22,49434.46,50258.11,411110.10,30.10,3.70,0.10,0.10
261,13049.76,49413.33,50227.43,847050.10,150.10,7.72,0.10,0.10
262,13124.47,50300.53,51171.25,6152000.10,210.10,55.37,0.10,0.10
263,13140.38,50308.19,51202.75,681280.10,90.10,6.17,0.10,0.10
264,?,?,?,?,?,?,0.10,?
265,?,?,?,?,?,?,?,?
266,13089.15,49955.87,50869.00,160210.09,70.09,1.44,?,0.09
267,13131.43,49979.47,50887.67,1751550.10,150.10,15.77,0.09,0.10
268,13114.91,50301.69,51221.45,2847310.09,120.09,26.66,0.10,0.09
269,13233.88,50936.34,51846.54,3111170.10,250.10,28.00,0.09,0.10
270,13346.97,50819.81,51704.53,2379730.10,170.10,21.45,0.10,0.10
271,?,?,?,?,?,?,0.10,?
272,?,?,?,?,?,?,?,?
273,13314.68,50301.85,51191.50,2297160.10,180.10,20.68,?,0.10
274,13338.19,50782.48,51691.24,2711200.09,260.09,24.40,0.10,0.09
275,13386.01,50803.40,51709.58,265820.10,80.10,2.44,0.09,0.10
276,13476.11,50982.03,51911.61,1721780.10,130.10,15.51,0.10,0.10
277,13513.64,50601.24,51511.63,761140.10,100.10,6.85,0.10,0.10
278,?,?,?,?,?,?,0.10,?
279,?,?,?,?,?,?,?,?
280,13477.58,50338.71,51239.47,52470.10,30.10,0.47,?,0.10
281,13399.64,50137.88,51021.26,2306110.10,220.10,22.31,0.10,0.10
282,13361.98,50335.02,51215.99,281060.10,70.10,2.65,0.10,0.10
283,13589.27,51806.83,52744.48,261120.10,80.10,2.37,0.10,0.10
284,13638.56,52230.47,53193.87,296750.09,80.09,2.67,0.10,0.09
285,?,?,?,?,?,?,0.09,?
286,?,?,?,?,?,?,?,?
287,13701.85,52520.91,53498.97,2357610.10,160.10,21.23,?,0.10
288,13824.94,52590.73,53588.87,2692700.09,180.09,24.85,0.10,0.09
289,13886.79,52861.41,53918.41,2130970.10,250.10,19.38,0.09,0.10
290,14155.74,52573.59,53571.90,4178760.10,370.10,38.06,0.10,0.10
291,14253.72,52587.24,53572.92,1426580.09,180.09,12.84,0.10,0.09
292,?,?,?,?,?,?,0.09,?
293,?,?,?,?,?,?,?,?
294,14459.56,53853.55,54903.39,903120.10,170.10,8.19,?,0.10
295,14512.68,53781.81,54818.06,2893480.10,160.10,27.82,0.10,0.10
296,14327.32,53389.74,54433.41,2097020.10,100.10,20.76,0.10,0.10
297,14572.10,53994.46,55063.75,1134010.10,100.10,10.41,0.10,0.10
298,14753.57,53887.13,55023.42,1702570.10,90.10,15.39,0.10,0.10
299,?,?,?,?,?,?,0.10,?
300,?,?,?,?,?,?,?,?
301,14896.01,54180.04,55362.19,572100.10,120.10,5.57,?,0.10
302,14994.44,54536.95,55688.45,678570.09,110.09,6.11,0.10,0.09
303,14942.82,54095.32,55240.01,4222260.10,320.10,41.87,0.09,0.10
304,14928.63,53607.86,54734.18,1194400.10,140.10,11.94,0.10,0.10
305,?,?,?,?,?,?,0.10,?
306,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?
308,15023.33,53989.37,55121.60,5945795,245,598.82,?,0.11
309,14877.29,53504.47,54600.05,638365,27,64.49,0.11,0.11
310,14860.69,53924.01,55035.36,921496,55,91.77,0.11,0.10
340,13476.564027366672,45857.110734846676,47106.0108522239,?,?,?,?,?,? 
370,13789.514663168062,46189.882480874876,47398.32393415799,?,?,?,?,?,? 
400,14102.465298969453,46522.654226903076,47690.63701609208,?,?,?,?,?,? 
490,15041.317206373624,47520.969464987684,48567.57626189435,?,?,?,?,?,? 
670,16919.02102118197,49517.5999411569,50321.45475349891,?,?,?,?,?,? 
