%310
@RELATION PLATM0000021
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
233,920.30,49128.05,3308.20,50032.45,3221.87,6498761.84,1231.84,1180.85,1.80,1.84
234,931.73,49846.48,3375.70,50780.47,3260.69,3885311.80,331.80,699.45,1.84,1.80
235,930.27,49895.10,3425.99,50836.47,3260.35,980621.85,331.85,179.22,1.80,1.85
236,?,?,?,?,?,?,?,?,1.85,?
237,?,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,3380.35,50756.86,3255.45,1359141.86,421.86,252.89,?,1.86
239,921.40,48833.58,3368.02,49731.02,3197.48,4162991.87,681.87,787.17,1.86,1.87
240,919.00,48537.65,3278.46,49421.50,3183.87,390511.90,381.90,73.78,1.87,1.90
241,924.88,48676.45,3248.07,49569.11,3204.20,9614971.95,1301.95,1803.84,1.90,1.95
242,925.91,48871.98,3201.00,49771.98,3196.27,7865681.95,1611.95,1520.10,1.95,1.95
243,?,?,?,?,?,?,?,?,1.95,?
244,?,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,3268.23,50099.55,3230.20,5024842.00,1452.00,1001.85,?,2.00
246,926.93,48968.87,3269.38,49861.54,3226.75,5461312.04,372.04,1083.48,2.00,2.04
247,918.91,47919.09,3265.82,48781.63,3174.71,8664851.98,1091.98,1729.59,2.04,1.98
248,890.19,45830.66,3173.83,46598.42,3061.25,11777861.85,841.85,2192.82,1.98,1.85
249,902.70,46717.04,3281.26,47514.09,3142.61,9470311.93,411.93,1781.24,1.85,1.93
250,?,?,?,?,?,?,?,?,1.93,?
251,?,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,3434.27,48651.54,3199.68,341251.97,261.97,67.00,?,1.97
253,931.39,48961.51,3452.04,49839.90,3256.85,4936482.02,762.02,987.91,1.97,2.02
254,934.25,49437.02,3412.17,50312.63,3285.29,1132332.10,642.10,233.16,2.02,2.10
255,943.52,49771.55,3494.04,50644.38,3303.55,944182.13,532.13,198.65,2.10,2.13
256,948.06,49348.61,3451.24,50196.31,3285.49,8278902.38,2052.38,1906.24,2.13,2.38
257,?,?,?,?,?,?,?,?,2.38,?
258,?,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,3389.94,49741.35,3260.05,3560232.35,1082.35,860.78,?,2.35
260,960.97,49434.46,3400.39,50258.11,3286.61,1410662.31,482.31,326.28,2.35,2.31
261,957.28,49413.33,3439.14,50227.43,3277.41,771852.33,402.33,177.98,2.31,2.33
262,963.32,50300.53,3528.56,51171.25,3316.59,1465642.30,452.30,337.06,2.33,2.30
263,962.49,50308.19,3505.92,51202.75,3316.08,1091832.33,262.33,251.66,2.30,2.33
264,?,?,?,?,?,?,?,?,2.33,?
265,?,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,3494.03,50869.00,3291.57,358052.32,192.32,82.49,?,2.32
267,957.44,49979.47,3460.74,50887.67,3275.67,145922.32,82.32,33.72,2.32,2.32
268,961.02,50301.69,3478.80,51221.45,3299.72,613332.35,382.35,142.11,2.32,2.35
269,969.92,50936.34,3529.42,51846.54,3336.44,180652.34,202.34,42.04,2.35,2.34
270,977.10,50819.81,3568.15,51704.53,3352.18,190202.33,152.33,44.10,2.34,2.33
271,?,?,?,?,?,?,?,?,2.33,?
272,?,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,3526.95,51191.50,3349.29,1012802.38,402.38,236.42,?,2.38
274,984.17,50782.48,3530.57,51691.24,3351.68,426862.37,232.37,101.20,2.38,2.37
275,987.01,50803.40,3531.37,51709.58,3364.40,896832.35,262.35,212.22,2.37,2.35
276,988.62,50982.03,3560.82,51911.61,3383.62,183102.38,162.38,43.52,2.35,2.38
277,992.25,50601.24,3549.83,51511.63,3381.52,977512.37,332.37,232.03,2.38,2.37
278,?,?,?,?,?,?,?,?,2.37,?
279,?,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,3534.94,51239.47,3383.60,2250542.38,572.38,534.09,?,2.38
281,993.38,50137.88,3527.51,51021.26,3368.14,1618712.45,642.45,390.15,2.38,2.45
282,996.97,50335.02,3521.67,51215.99,3379.96,233692.46,332.46,57.27,2.45,2.46
283,1011.15,51806.83,3600.65,52744.48,3454.41,769212.46,552.46,189.01,2.46,2.46
284,1024.81,52230.47,3691.14,53193.87,3477.04,358942.46,242.46,87.99,2.46,2.46
285,?,?,?,?,?,?,?,?,2.46,?
286,?,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,3752.75,53498.97,3508.85,442562.45,362.45,107.56,?,2.45
288,1039.64,52590.73,3804.41,53588.87,3544.07,389222.48,242.48,95.68,2.45,2.48
289,1036.86,52861.41,3879.33,53918.41,3548.14,205112.50,212.50,51.22,2.48,2.50
290,1049.92,52573.59,3918.77,53571.90,3572.96,405282.53,272.53,102.22,2.50,2.53
