%310
@RELATION PLARCUS00040
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
135,802.28,46102.42,1180.62,46676.61,28803.94,63.94,11.13,3.93,3.94
136,806.45,45992.03,1159.61,46581.16,195373.67,253.67,71.53,3.94,3.67
137,810.69,46078.68,1125.40,46646.58,97103.47,193.47,34.13,3.67,3.47
138,?,?,?,?,?,?,?,3.47,?
139,?,?,?,?,?,?,?,?,?
140,815.60,46041.35,1137.52,46615.31,34643.48,63.48,12.13,?,3.48
141,819.76,45851.80,1125.99,46439.10,9663.63,53.63,3.46,3.48,3.63
142,818.82,45933.66,1125.44,46529.96,69523.63,113.63,24.56,3.63,3.63
143,814.69,45687.76,1120.21,46311.26,38103.80,53.80,14.08,3.63,3.80
144,820.11,46145.44,1124.91,46783.61,8103.75,43.75,3.01,3.80,3.75
145,?,?,?,?,?,?,?,3.75,?
146,?,?,?,?,?,?,?,?,?
147,828.12,47277.10,1142.01,47957.54,97283.66,293.66,34.39,?,3.66
148,838.40,47579.87,1154.78,48258.02,22233.65,73.65,7.91,3.66,3.65
149,842.72,47476.64,1171.08,48138.07,15533.62,63.62,5.54,3.65,3.62
150,?,?,?,?,?,?,?,3.62,?
151,841.72,47806.34,1165.26,48503.87,45253.59,73.59,16.32,?,3.59
152,?,?,?,?,?,?,?,3.59,?
153,?,?,?,?,?,?,?,?,?
154,839.57,47175.79,1165.63,47868.36,62203.68,83.68,22.19,?,3.68
155,854.67,47620.68,1159.94,48323.88,51553.65,153.65,18.41,3.68,3.65
156,859.35,47805.94,1151.72,48513.29,21023.66,83.66,7.67,3.65,3.66
157,864.95,47573.66,1162.00,48259.19,46443.80,113.80,17.30,3.66,3.80
158,866.67,48209.65,1181.72,48918.37,22453.78,113.78,8.17,3.80,3.78
159,?,?,?,?,?,?,?,3.78,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1181.70,49207.65,121223.90,213.90,46.04,?,3.90
162,870.60,48324.52,1178.63,49050.96,45093.99,183.99,17.78,3.90,3.99
163,878.91,48383.93,1192.84,49098.70,41374.10,144.10,16.74,3.99,4.10
164,877.48,48152.82,1194.64,48890.47,88824.21,214.21,36.92,4.10,4.21
165,880.65,48273.42,1193.40,49057.66,155844.35,404.35,66.79,4.21,4.35
166,?,?,?,?,?,?,?,4.35,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1195.82,48917.56,15594.35,104.35,6.83,?,4.35
169,886.71,48119.72,1195.92,48891.04,47354.39,174.39,20.51,4.35,4.39
170,885.25,47743.10,1196.01,48509.84,99914.25,274.25,41.66,4.39,4.25
171,864.38,45870.00,1146.73,46587.68,83904.24,244.24,35.13,4.25,4.24
172,855.18,44732.92,1176.34,45456.77,29584.12,94.12,11.76,4.24,4.12
173,?,?,?,?,?,?,?,4.12,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1173.52,45531.46,28274.12,74.12,11.34,?,4.12
176,863.23,44966.09,1180.90,45672.10,11214.09,64.09,4.53,4.12,4.09
177,858.05,44893.99,1166.57,45601.51,24.05,24.05,0.01,4.09,4.05
178,847.97,43667.37,1139.46,44326.49,90913.88,123.88,35.17,4.05,3.88
179,848.08,44747.79,1160.39,45442.51,38873.94,113.94,14.87,3.88,3.94
180,?,?,?,?,?,?,?,3.94,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1150.94,45461.06,5503.90,63.90,2.15,?,3.90
183,853.37,45533.94,1175.36,46254.71,331324.13,854.13,132.92,3.90,4.13
184,850.45,45184.98,1196.30,45899.36,41014.18,64.18,16.82,4.13,4.18
185,855.94,45613.75,1189.64,46344.42,118974.27,284.27,50.55,4.18,4.27
186,851.88,45110.89,1161.10,45805.34,301614.27,394.27,129.66,4.27,4.27
187,?,?,?,?,?,?,?,4.27,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1167.58,45172.40,11714.22,84.22,4.93,?,4.22
190,842.60,44342.23,1165.35,44969.23,72344.25,274.25,29.86,4.22,4.25
191,844.03,45068.55,1180.80,45727.71,54024.25,144.25,22.25,4.25,4.25
192,845.84,45712.72,1192.09,46390.36,4034.23,44.23,1.68,4.25,4.23
193,849.99,46150.78,1209.79,46839.89,38064.18,104.18,15.63,4.23,4.18
194,?,?,?,?,?,?,?,4.18,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1196.78,46922.43,58354.05,184.05,23.68,?,4.05
197,847.84,46155.10,1214.42,46860.35,8194.00,94.00,3.23,4.05,4.00
198,845.85,46287.08,1215.81,47003.76,10603.90,93.90,4.13,4.00,3.90
199,845.70,46221.23,1211.51,46919.83,141193.92,453.92,54.72,3.90,3.92
200,848.06,46399.74,1210.19,47120.88,71143.91,223.91,26.71,3.92,3.91
201,?,?,?,?,?,?,?,3.91,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1235.07,47075.43,130054.00,444.00,52.10,?,4.00
204,852.44,46714.43,1232.24,47454.90,28354.09,64.09,11.29,4.00,4.09
205,858.02,46835.98,1222.66,47575.74,20023.98,43.98,8.07,4.09,3.98
206,858.31,46713.02,1219.75,47446.69,3914.03,54.03,1.55,3.98,4.03
207,858.83,46258.91,1209.19,46981.22,17853.95,43.95,6.96,4.03,3.95
208,?,?,?,?,?,?,?,3.95,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1199.78,47214.30,3263.87,23.87,1.26,?,3.87
211,870.15,46663.41,1213.77,47398.08,5733.98,43.98,2.21,3.87,3.98
212,878.25,46925.65,1223.90,47676.43,5743.98,63.98,2.21,3.98,3.98
213,881.30,47370.81,1222.52,48147.76,90683.85,183.85,34.14,3.98,3.85
214,884.10,48325.33,1231.68,49133.14,97463.72,193.72,36.43,3.85,3.72
215,?,?,?,?,?,?,?,3.72,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1230.24,49272.86,109983.75,123.75,41.01,?,3.75
218,891.86,47942.81,1233.34,48742.34,5213.75,23.75,1.95,3.75,3.75
219,898.91,48306.55,1236.11,49124.78,55263.82,103.82,20.41,3.75,3.82
220,903.85,48862.88,1227.93,49700.18,27933.83,73.83,10.39,3.82,3.83
