%310
@RELATION PLSIMPL00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-INFO NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
157,864.95,47573.66,1162.00,48259.19,18.00,18.00,0.01,7.84,8.00
158,866.67,48209.65,1181.72,48918.37,18.00,18.00,0.01,8.00,8.00
159,?,?,?,?,?,?,?,8.00,?
160,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1181.70,49207.65,3317.98,47.98,2.58,?,7.98
162,870.60,48324.52,1178.63,49050.96,9177.98,87.98,7.26,7.98,7.98
163,878.91,48383.93,1192.84,49098.70,8507.99,47.99,6.79,7.98,7.99
164,877.48,48152.82,1194.64,48890.47,9047.90,67.90,7.20,7.99,7.90
165,880.65,48273.42,1193.40,49057.66,6497.89,47.89,5.08,7.90,7.89
166,?,?,?,?,?,?,?,7.89,?
167,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1195.82,48917.56,20287.97,67.97,16.16,?,7.97
169,886.71,48119.72,1195.92,48891.04,15108.03,88.03,12.08,7.97,8.03
170,885.25,47743.10,1196.01,48509.84,6158.06,88.06,4.94,8.03,8.06
171,864.38,45870.00,1146.73,46587.68,12477.89,97.89,9.73,8.06,7.89
172,855.18,44732.92,1176.34,45456.77,9647.88,77.88,7.59,7.89,7.88
173,?,?,?,?,?,?,?,7.88,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1173.52,45531.46,2527.90,27.90,1.99,?,7.90
176,863.23,44966.09,1180.90,45672.10,6188.00,28.00,4.94,7.90,8.00
177,858.05,44893.99,1166.57,45601.51,6398.08,48.08,5.11,8.00,8.08
178,847.97,43667.37,1139.46,44326.49,13048.01,138.01,10.56,8.08,8.01
179,848.08,44747.79,1160.39,45442.51,3807.90,37.90,3.00,8.01,7.90
180,?,?,?,?,?,?,?,7.90,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1150.94,45461.06,4207.95,47.95,3.38,?,7.95
183,853.37,45533.94,1175.36,46254.71,9938.00,98.00,7.71,7.95,8.00
184,850.45,45184.98,1196.30,45899.36,38.00,28.00,0.02,8.00,8.00
185,855.94,45613.75,1189.64,46344.42,1028.00,38.00,0.82,8.00,8.00
186,851.88,45110.89,1161.10,45805.34,57.90,17.90,0.04,8.00,7.90
187,?,?,?,?,?,?,?,7.90,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1167.58,45172.40,27.90,17.90,0.02,?,7.90
190,842.60,44342.23,1165.35,44969.23,107.90,17.90,0.08,7.90,7.90
191,844.03,45068.55,1180.80,45727.71,27.58,17.58,0.02,7.90,7.58
192,845.84,45712.72,1192.09,46390.36,507.60,17.60,0.38,7.58,7.60
193,849.99,46150.78,1209.79,46839.89,12457.50,57.50,9.40,7.60,7.50
194,?,?,?,?,?,?,?,7.50,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1196.78,46922.43,1047.87,37.87,0.79,?,7.87
197,847.84,46155.10,1214.42,46860.35,657.85,27.85,0.51,7.87,7.85
198,845.85,46287.08,1215.81,47003.76,2517.80,57.80,1.88,7.85,7.80
199,845.70,46221.23,1211.51,46919.83,57.99,17.99,0.04,7.80,7.99
200,848.06,46399.74,1210.19,47120.88,107.99,17.99,0.08,7.99,7.99
201,?,?,?,?,?,?,?,7.99,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1235.07,47075.43,2357.99,77.99,1.83,?,7.99
204,852.44,46714.43,1232.24,47454.90,45078.04,228.04,35.99,7.99,8.04
205,858.02,46835.98,1222.66,47575.74,20028.28,128.28,16.54,8.04,8.28
206,858.31,46713.02,1219.75,47446.69,30718.49,248.49,25.83,8.28,8.49
207,858.83,46258.91,1209.19,46981.22,24328.49,138.49,20.50,8.49,8.49
208,?,?,?,?,?,?,?,8.49,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1199.78,47214.30,28.48,18.48,0.02,?,8.48
