%310
@RELATION PLNFI0900014
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-TELKOM NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
170,2974.95,47743.10,806.58,48509.84,3122.21,30210170.88,1290.88,2658.34,0.89,0.88
171,2905.31,45870.00,802.15,46587.68,3038.18,81853800.83,4480.83,6873.47,0.88,0.83
172,2844.16,44732.92,746.48,45456.77,3001.68,31874060.81,2420.81,2608.42,0.83,0.81
173,?,?,?,?,?,?,?,?,0.81,?
174,?,?,?,?,?,?,?,?,?,?
175,2824.47,44824.62,766.14,45531.46,2990.89,43989370.81,3580.81,3560.59,?,0.81
176,2821.05,44966.09,782.20,45672.10,2999.31,19686380.81,1670.81,1604.03,0.81,0.81
177,2807.75,44893.99,794.70,45601.51,2972.55,89114470.81,5370.81,7002.34,0.81,0.81
178,2736.47,43667.37,790.83,44326.49,2915.58,33389370.80,1560.80,2672.73,0.81,0.80
179,2776.93,44747.79,797.01,45442.51,2948.80,12786260.82,1420.82,1028.16,0.80,0.82
180,?,?,?,?,?,?,?,?,0.82,?
181,?,?,?,?,?,?,?,?,?,?
182,2809.58,44769.00,791.24,45461.06,2963.91,25650360.82,1530.82,2098.16,?,0.82
183,2832.22,45533.94,802.01,46254.71,2981.48,11484060.83,1200.83,945.55,0.82,0.83
184,2815.62,45184.98,802.26,45899.36,2971.57,9146310.82,1030.82,743.08,0.83,0.82
185,2833.65,45613.75,813.75,46344.42,2988.19,29944790.86,3470.86,2534.76,0.82,0.86
186,2823.50,45110.89,816.98,45805.34,2977.06,35899610.86,4080.86,3117.75,0.86,0.86
187,?,?,?,?,?,?,?,?,0.86,?
188,?,?,?,?,?,?,?,?,?,?
189,2780.48,44534.34,804.61,45172.40,2948.16,8543070.85,1490.85,727.18,?,0.85
190,2753.06,44342.23,805.77,44969.23,2924.69,35806250.85,2690.85,3022.05,0.85,0.85
191,2792.18,45068.55,822.40,45727.71,2962.09,12540560.86,1320.86,1070.54,0.85,0.86
192,2830.11,45712.72,821.82,46390.36,2992.86,10648560.85,4210.85,910.63,0.86,0.85
193,2859.48,46150.78,829.76,46839.89,3017.66,25218780.85,1820.85,2136.87,0.85,0.85
194,?,?,?,?,?,?,?,?,0.85,?
195,?,?,?,?,?,?,?,?,?,?
196,2869.26,46218.05,826.24,46922.43,3022.70,4993760.85,930.85,424.59,?,0.85
197,2865.65,46155.10,833.89,46860.35,3017.11,13050510.84,1360.84,1098.32,0.85,0.84
198,2869.34,46287.08,841.12,47003.76,3021.27,6192340.85,910.85,518.59,0.84,0.85
199,2886.09,46221.23,838.07,46919.83,3023.16,9804290.84,1190.84,823.64,0.85,0.84
200,2881.70,46399.74,843.46,47120.88,3019.85,6342280.83,1280.83,530.25,0.84,0.83
201,?,?,?,?,?,?,?,?,0.83,?
202,?,?,?,?,?,?,?,?,?,?
203,2871.14,46361.70,838.10,47075.43,3021.70,2709030.84,950.84,227.09,?,0.84
204,2908.96,46714.43,838.88,47454.90,3029.97,5438700.83,1460.83,450.81,0.84,0.83
205,2923.77,46835.98,835.03,47575.74,3050.63,2657320.83,1100.83,221.86,0.83,0.83
206,2914.72,46713.02,816.24,47446.69,3036.16,1945820.82,670.82,160.75,0.83,0.82
207,2886.24,46258.91,809.91,46981.22,3015.00,4386850.81,1350.81,358.93,0.82,0.81
208,?,?,?,?,?,?,?,?,0.81,?
209,?,?,?,?,?,?,?,?,?,?
210,2914.05,46480.62,819.34,47214.30,3032.94,7847340.82,1780.82,636.52,?,0.82
211,2928.38,46663.41,820.25,47398.08,3038.42,3794090.81,1000.81,308.95,0.82,0.81
212,2924.02,46925.65,811.01,47676.43,3046.08,15403480.80,3040.80,1238.00,0.81,0.80
213,2945.73,47370.81,823.49,48147.76,3060.17,6372650.80,1230.80,514.43,0.80,0.80
214,3020.01,48325.33,826.29,49133.14,3110.79,20752620.84,3020.84,1721.22,0.80,0.84
215,?,?,?,?,?,?,?,?,0.84,?
216,?,?,?,?,?,?,?,?,?,?
217,3032.65,48458.44,820.97,49272.86,3127.41,8765960.85,1800.85,739.83,?,0.85
218,3037.01,47942.81,815.36,48742.34,3127.38,3335630.84,1220.84,280.74,0.85,0.84
219,3084.81,48306.55,811.28,49124.78,3168.23,6798340.85,1370.85,566.02,0.84,0.85
220,3128.68,48862.88,825.43,49700.18,3190.86,10028900.85,1900.85,853.41,0.85,0.85
221,3163.87,49125.36,822.39,49994.77,3206.86,11600440.86,1400.86,985.20,0.85,0.86
222,?,?,?,?,?,?,?,?,0.86,?
223,?,?,?,?,?,?,?,?,?,?
224,3182.23,49580.16,812.71,50476.37,3225.79,6386460.85,1090.85,543.23,?,0.85
225,3202.74,49747.66,805.95,50646.05,3233.22,14087650.87,2180.87,1212.04,0.85,0.87
226,3253.52,50223.95,797.82,51152.95,3271.49,102398690.88,8770.88,9142.29,0.87,0.88
227,?,?,?,?,?,?,?,?,0.88,?
228,3239.52,49976.48,791.89,50906.11,3253.28,40221810.86,3460.86,3456.42,?,0.86
229,?,?,?,?,?,?,?,?,0.86,?
230,?,?,?,?,?,?,?,?,?,?
231,3222.20,49772.46,806.62,50713.14,3237.31,18090680.86,1740.86,1541.15,?,0.86
232,3180.64,49162.16,799.11,50077.30,3210.57,12876630.84,1510.84,1090.00,0.86,0.84
233,3168.92,49128.05,810.48,50032.45,3221.87,15313180.84,1240.84,1287.84,0.84,0.84
234,3209.11,49846.48,829.86,50780.47,3260.69,9728660.85,1810.85,821.91,0.84,0.85
235,3231.44,49895.10,842.35,50836.47,3260.35,12345170.83,1920.83,1031.18,0.85,0.83
236,?,?,?,?,?,?,?,?,0.83,?
237,?,?,?,?,?,?,?,?,?,?
238,3205.90,49818.48,842.06,50756.86,3255.45,8624330.84,1630.84,722.42,?,0.84
239,3147.92,48833.58,837.13,49731.02,3197.48,12189440.83,1420.83,1011.25,0.84,0.83
240,3091.84,48537.65,848.65,49421.50,3183.87,6550980.82,1060.82,542.12,0.83,0.82
241,3095.55,48676.45,842.00,49569.11,3204.20,2621680.82,500.82,216.94,0.82,0.82
242,3087.13,48871.98,852.84,49771.98,3196.27,9057340.82,1470.82,746.38,0.82,0.82
243,?,?,?,?,?,?,?,?,0.82,?
244,?,?,?,?,?,?,?,?,?,?
