%310
@RELATION NL0000687309
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-MEDIA NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
183,2832.22,45533.94,3034.96,2981.48,954129.40,1229.40,280.28,28.75,29.40
184,2815.62,45184.98,3008.56,2971.57,200629.50,4029.50,58.97,29.40,29.50
185,2833.65,45613.75,3031.35,2988.19,26829.50,429.50,7.91,29.50,29.50
186,2823.50,45110.89,3040.23,2977.06,1071429.90,2329.90,319.02,29.50,29.90
187,?,?,?,?,?,?,?,29.90,?
188,?,?,?,?,?,?,?,?,?
189,2780.48,44534.34,2963.72,2948.16,3929.73,229.73,1.15,?,29.73
190,2753.06,44342.23,2923.27,2924.69,5711828.85,1428.85,1684.12,29.73,28.85
191,2792.18,45068.55,3088.12,2962.09,1653029.30,829.30,479.42,28.85,29.30
192,2830.11,45712.72,3133.70,2992.86,602529.50,729.50,176.68,29.30,29.50
193,2859.48,46150.78,3149.35,3017.66,180529.20,829.20,53.23,29.50,29.20
194,?,?,?,?,?,?,?,29.20,?
195,?,?,?,?,?,?,?,?,?
196,2869.26,46218.05,3148.83,3022.70,290129.49,2529.49,85.23,?,29.49
197,2865.65,46155.10,3146.57,3017.11,2270329.50,2829.50,670.22,29.49,29.50
198,2869.34,46287.08,3212.07,3021.27,3817829.75,2929.75,1135.47,29.50,29.75
199,2886.09,46221.23,3244.60,3023.16,1004829.75,829.75,298.93,29.75,29.75
200,2881.70,46399.74,3235.66,3019.85,1424929.75,1329.75,423.91,29.75,29.75
201,?,?,?,?,?,?,?,29.75,?
202,?,?,?,?,?,?,?,?,?
203,2871.14,46361.70,3205.19,3021.70,1985029.75,2029.75,590.38,?,29.75
204,2908.96,46714.43,3248.21,3029.97,655329.70,929.70,194.60,29.75,29.70
205,2923.77,46835.98,3268.30,3050.63,626229.75,2029.75,185.80,29.70,29.75
206,2914.72,46713.02,3213.35,3036.16,310329.75,529.75,92.31,29.75,29.75
207,2886.24,46258.91,3139.34,3015.00,1362529.70,129.70,404.66,29.75,29.70
208,?,?,?,?,?,?,?,29.70,?
209,?,?,?,?,?,?,?,?,?
210,2914.05,46480.62,3198.11,3032.94,650930.00,2230.00,194.60,?,30.00
211,2928.38,46663.41,3193.87,3038.42,731830.40,4030.40,222.38,30.00,30.40
212,2924.02,46925.65,3155.49,3046.08,1233830.00,1330.00,371.03,30.40,30.00
213,2945.73,47370.81,3181.95,3060.17,181830.49,1630.49,55.28,30.00,30.49
214,3020.01,48325.33,3281.00,3110.79,2454830.51,5530.51,744.52,30.49,30.51
215,?,?,?,?,?,?,?,30.51,?
216,?,?,?,?,?,?,?,?,?
217,3032.65,48458.44,3273.93,3127.41,2509630.00,3330.00,754.58,?,30.00
218,3037.01,47942.81,3294.82,3127.38,385530.00,1630.00,114.38,30.00,30.00
219,3084.81,48306.55,3296.25,3168.23,2149129.50,1429.50,648.90,30.00,29.50
220,3128.68,48862.88,3347.67,3190.86,153030.00,730.00,45.78,29.50,30.00
221,3163.87,49125.36,3339.13,3206.86,4546531.00,2931.00,1347.78,30.00,31.00
222,?,?,?,?,?,?,?,31.00,?
223,?,?,?,?,?,?,?,?,?
224,3182.23,49580.16,3357.82,3225.79,1008230.75,1130.75,308.08,?,30.75
225,3202.74,49747.66,3371.42,3233.22,2926930.50,2130.50,892.84,30.75,30.50
226,3253.52,50223.95,3408.63,3271.49,1306930.50,2630.50,399.96,30.50,30.50
227,?,?,?,?,?,?,?,30.50,?
228,3239.52,49976.48,3380.10,3253.28,37230.33,630.33,11.46,?,30.33
229,?,?,?,?,?,?,?,30.33,?
230,?,?,?,?,?,?,?,?,?
231,3222.20,49772.46,3285.01,3237.31,467330.17,1830.17,143.56,?,30.17
232,3180.64,49162.16,3253.81,3210.57,151530.69,1630.69,46.36,30.17,30.69
233,3168.92,49128.05,3308.20,3221.87,212930.93,630.93,65.50,30.69,30.93
234,3209.11,49846.48,3375.70,3260.69,2618331.00,3831.00,811.66,30.93,31.00
235,3231.44,49895.10,3425.99,3260.35,1913431.00,2531.00,593.04,31.00,31.00
236,?,?,?,?,?,?,?,31.00,?
237,?,?,?,?,?,?,?,?,?
238,3205.90,49818.48,3380.35,3255.45,2215030.70,2530.70,686.72,?,30.70
239,3147.92,48833.58,3368.02,3197.48,63630.80,1230.80,19.57,30.70,30.80
240,3091.84,48537.65,3278.46,3183.87,3493930.75,1730.75,1057.15,30.80,30.75
241,3095.55,48676.45,3248.07,3204.20,10351230.20,830.20,3126.28,30.75,30.20
242,3087.13,48871.98,3201.00,3196.27,445331.30,2231.30,137.74,30.20,31.30
243,?,?,?,?,?,?,?,31.30,?
244,?,?,?,?,?,?,?,?,?
245,3129.09,49187.22,3268.23,3230.20,70431.00,731.00,21.96,?,31.00
246,3139.25,48968.87,3269.38,3226.75,2585431.00,1531.00,792.86,31.00,31.00
247,3092.12,47919.09,3265.82,3174.71,3230.90,230.90,1.00,31.00,30.90
248,2958.80,45830.66,3173.83,3061.25,528829.80,3129.80,157.20,30.90,29.80
249,3043.50,46717.04,3281.26,3142.61,93730.33,830.33,27.75,29.80,30.33
250,?,?,?,?,?,?,?,30.33,?
251,?,?,?,?,?,?,?,?,?
252,3124.36,47808.90,3434.27,3199.68,2918830.80,1930.80,876.44,?,30.80
253,3166.39,48961.51,3452.04,3256.85,8398930.70,5430.70,2538.27,30.80,30.70
254,3194.64,49437.02,3412.17,3285.29,4564230.00,3130.00,1369.38,30.70,30.00
255,3213.18,49771.55,3494.04,3303.55,373830.32,1330.32,112.62,30.00,30.32
256,3183.67,49348.61,3451.24,3285.49,277030.63,1330.63,83.75,30.32,30.63
257,?,?,?,?,?,?,?,30.63,?
258,?,?,?,?,?,?,?,?,?
259,3135.12,48917.85,3389.94,3260.05,486430.63,930.63,150.10,?,30.63
260,3156.03,49434.46,3400.39,3286.61,541830.60,2730.60,164.04,30.63,30.60
261,3157.83,49413.33,3439.14,3277.41,112230.60,830.60,34.29,30.60,30.60
262,3222.54,50300.53,3528.56,3316.59,1329730.60,3130.60,401.42,30.60,30.60
263,3229.62,50308.19,3505.92,3316.08,674630.40,1030.40,203.79,30.60,30.40
264,?,?,?,?,?,?,?,30.40,?
265,?,?,?,?,?,?,?,?,?
266,3217.71,49955.87,3494.03,3291.57,297831.00,1731.00,92.06,?,31.00
267,3194.37,49979.47,3460.74,3275.67,4722630.20,3530.20,1431.39,31.00,30.20
268,3236.84,50301.69,3478.80,3299.72,75030.80,630.80,23.06,30.20,30.80
269,3290.09,50936.34,3529.42,3336.44,1391331.00,1831.00,427.23,30.80,31.00
270,3296.37,50819.81,3568.15,3352.18,969032.90,4132.90,313.92,31.00,32.90
271,?,?,?,?,?,?,?,32.90,?
272,?,?,?,?,?,?,?,?,?
273,3275.69,50301.85,3526.95,3349.29,269132.59,832.59,87.55,?,32.59
274,3315.88,50782.48,3530.57,3351.68,54832.40,732.40,17.79,32.59,32.40
275,3320.03,50803.40,3531.37,3364.40,188231.05,2431.05,59.26,32.40,31.05
276,3338.30,50982.03,3560.82,3383.62,188731.77,1631.77,59.74,31.05,31.77
277,3322.87,50601.24,3549.83,3381.52,21032.00,432.00,6.71,31.77,32.00
278,?,?,?,?,?,?,?,32.00,?
279,?,?,?,?,?,?,?,?,?
280,3307.23,50338.71,3534.94,3383.60,1805031.50,1531.50,565.86,?,31.50
281,3285.49,50137.88,3527.51,3368.14,14231.55,431.55,4.48,31.50,31.55
282,3299.43,50335.02,3521.67,3379.96,3043531.00,631.00,943.62,31.55,31.00
283,3371.00,51806.83,3600.65,3454.41,1052531.38,1031.38,326.50,31.00,31.38
284,3402.39,52230.47,3691.14,3477.04,530131.71,1731.71,167.17,31.38,31.71
285,?,?,?,?,?,?,?,31.71,?
286,?,?,?,?,?,?,?,?,?
287,3447.55,52520.91,3752.75,3508.85,285732.48,2132.48,91.82,?,32.48
288,3490.38,52590.73,3804.41,3544.07,11160532.48,7932.48,3624.00,32.48,32.48
289,3511.41,52861.41,3879.33,3548.14,134832.00,1432.00,43.29,32.48,32.00
290,3514.54,52573.59,3918.77,3572.96,1023433.50,5433.50,335.06,32.00,33.50
291,3452.12,52587.24,3833.68,3535.97,1888332.80,4032.80,619.87,33.50,32.80
292,?,?,?,?,?,?,?,32.80,?
293,?,?,?,?,?,?,?,?,?
294,3528.36,53853.55,3887.06,3606.06,2162632.45,2332.45,701.52,?,32.45
295,3534.57,53781.81,3846.75,3615.60,87032.49,1432.49,28.22,32.45,32.49
296,3522.13,53389.74,3816.87,3596.10,237032.40,1132.40,76.61,32.49,32.40
297,3563.56,53994.46,3899.85,3637.76,1013032.60,1032.60,329.26,32.40,32.60
298,3567.78,53887.13,3848.17,3651.19,223033.00,833.00,73.45,32.60,33.00
299,?,?,?,?,?,?,?,33.00,?
300,?,?,?,?,?,?,?,?,?
301,3559.25,54180.04,3812.98,3660.45,593933.10,2033.10,197.10,?,33.10
302,3572.51,54536.95,3817.81,3688.57,1429432.99,2132.99,462.39,33.10,32.99
303,3531.31,54095.32,3821.59,3660.80,347132.99,1332.99,114.30,32.99,32.99
304,3488.69,53607.86,3799.39,3628.73,254533.00,1533.00,83.87,32.99,33.00
305,?,?,?,?,?,?,?,33.00,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,3514.71,53989.37,3834.21,3668.56,16936,37,560.23,?,33.09
309,3493.80,53504.47,3804.45,3645.18,3871,19,127.84,33.09,32.90
310,3512.17,53924.01,3810.40,3650.27,2000,4,65.80,32.90,32.90
340,3118.097704907077,45857.110734846676,3254.8821582088017,3215.763816454578,?,?,?,?,?,? 
370,3156.981569607352,46189.882480874876,3313.519908237942,3267.20146029432,?,?,?,?,?,? 
400,3195.865434307627,46522.654226903076,3372.157658267083,3318.639104134063,?,?,?,?,?,? 
490,3312.517028408451,47520.969464987684,3548.0709083545053,3472.9520356532903,?,?,?,?,?,? 
670,3545.820216610101,49517.5999411569,3899.8974085293503,3781.5778986917467,?,?,?,?,?,? 
