%310
@RELATION PLTRCZN00016
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
291,1051.86,52587.24,3669.50,53572.92,3535.97,2331114.22,11614.22,327.19,13.84,14.22
292,?,?,?,?,?,?,?,?,14.22,?
293,?,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,3737.21,54903.39,3606.06,860514.20,3514.20,122.82,?,14.20
295,1078.51,53781.81,3771.51,54818.06,3615.60,3738714.55,21114.55,554.78,14.20,14.55
296,1074.66,53389.74,3696.25,54433.41,3596.10,2885714.80,7114.80,426.54,14.55,14.80
297,1083.34,53994.46,3739.61,55063.75,3637.76,1018115.26,7315.26,154.53,14.80,15.26
298,1095.80,53887.13,3516.88,55023.42,3651.19,451915.24,4215.24,68.75,15.26,15.24
299,?,?,?,?,?,?,?,?,15.24,?
300,?,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,3427.82,55362.19,3660.45,901015.20,4815.20,135.88,?,15.20
302,1114.63,54536.95,3478.84,55688.45,3688.57,859315.20,5015.20,129.13,15.20,15.20
303,1107.62,54095.32,3394.12,55240.01,3660.80,3074015.00,7315.00,466.64,15.20,15.00
304,1109.36,53607.86,3362.26,54734.18,3628.73,2089215.47,6415.47,321.27,15.00,15.47
305,?,?,?,?,?,?,?,?,15.47,?
306,?,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,3422.88,55121.60,3668.56,19961,68,315.12,?,15.70
309,1101.37,53504.47,3437.50,54600.05,3645.18,11089,51,175.12,15.70,15.50
310,1106.35,53924.01,3426.03,55035.36,3650.27,8523,24,133.32,15.50,15.50
340,991.5027484429278,45857.110734846676,2864.893371122059,47106.0108522239,3215.763816454578,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,2842.611796073331,47398.32393415799,3267.20146029432,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,2820.330221024603,47690.63701609208,3318.639104134063,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,2753.4854958784194,48567.57626189435,3472.9520356532903,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,2619.796045586054,50321.45475349891,3781.5778986917467,?,?,?,?,?,? 
