%310
@RELATION PLBSK0000017
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE mWIG40 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG-BANKI NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
106,?,?,?,?,?,?,?,?,?,?,85.89,?
107,2372.48,2555.73,43916.24,2368.24,3433.28,6240.52,44404.81,11633190.80,20090.80,10491.70,?,90.80
108,2338.69,2520.54,43364.70,2329.94,3387.52,6160.57,43850.06,525689.00,5389.00,470.27,90.80,89.00
109,2342.83,2522.32,43447.75,2326.99,3393.51,6239.69,43993.98,658690.60,5390.60,595.52,89.00,90.60
110,?,?,?,?,?,?,?,?,?,?,90.60,?
111,?,?,?,?,?,?,?,?,?,?,?,?
112,2337.88,2499.84,43360.30,2324.80,3386.35,6186.32,43892.82,442390.43,5190.43,399.40,?,90.43
113,2331.94,2471.39,43159.57,2322.43,3377.74,6215.82,43707.88,1585690.00,3990.00,1427.20,90.43,90.00
114,2345.85,2472.28,43356.73,2333.85,3397.89,6191.81,43908.95,2070788.55,5588.55,1862.35,90.00,88.55
115,2349.59,2492.91,43482.18,2351.74,3403.31,6127.49,44027.03,3857387.80,36887.80,3367.80,88.55,87.80
116,2359.18,2520.03,43665.21,2347.25,3417.20,6160.04,44226.06,305690.50,4490.50,273.88,87.80,90.50
117,?,?,?,?,?,?,?,?,?,?,90.50,?
118,?,?,?,?,?,?,?,?,?,?,?,?
119,2372.13,2537.81,43882.16,2352.08,3435.94,6178.53,44420.22,338089.85,6789.85,305.55,?,89.85
120,2388.07,2550.91,44162.18,2365.51,3459.03,6169.02,44653.34,580290.10,8390.10,527.86,89.85,90.10
121,?,?,?,?,?,?,?,?,?,?,90.10,?
122,2374.97,2543.60,43991.51,2371.23,3440.07,6108.94,44466.89,318589.75,2589.75,288.84,?,89.75
123,?,?,?,?,?,?,?,?,?,?,89.75,?
124,?,?,?,?,?,?,?,?,?,?,?,?
125,?,?,?,?,?,?,?,?,?,?,?,?
126,2407.08,2568.68,44541.73,2405.15,3486.58,6204.24,45060.80,742989.50,8989.50,666.36,?,89.50
127,2417.54,2587.84,44742.22,2406.38,3501.73,6255.13,45244.29,3259189.50,8889.50,2923.65,89.50,89.50
128,2439.21,2610.73,45117.94,2431.87,3533.12,6326.01,45647.76,3196990.20,7790.20,2880.99,89.50,90.20
129,2431.22,2630.10,44943.16,2432.74,3521.54,6241.19,45475.08,416092.00,3892.00,380.88,90.20,92.00
130,2426.35,2654.43,44895.35,2418.77,3514.48,6253.13,45408.06,1950591.00,4791.00,1786.24,92.00,91.00
131,?,?,?,?,?,?,?,?,?,?,91.00,?
132,?,?,?,?,?,?,?,?,?,?,?,?
133,2443.14,2678.95,45207.84,2429.59,3541.49,6334.47,45746.01,679991.30,4391.30,623.06,?,91.30
134,2479.96,2713.50,45771.11,2464.03,3594.88,6477.31,46336.62,7094094.00,11694.00,6482.19,91.30,94.00
135,2500.68,2720.73,46102.42,2475.71,3624.90,6560.58,46676.61,2181391.36,10291.36,2010.32,94.00,91.36
136,2488.92,2740.12,45992.03,2482.49,3611.62,6559.17,46581.16,4029491.50,5391.50,3678.27,91.36,91.50
137,2493.28,2751.78,46078.68,2496.00,3617.94,6534.07,46646.58,6232891.05,4491.05,5672.14,91.50,91.05
138,?,?,?,?,?,?,?,?,?,?,91.05,?
139,?,?,?,?,?,?,?,?,?,?,?,?
140,2488.97,2788.61,46041.35,2490.85,3611.69,6512.75,46615.31,2560891.56,5691.56,2330.58,?,91.56
141,2472.29,2759.55,45851.80,2463.54,3587.49,6473.23,46439.10,1441090.99,6390.99,1309.85,91.56,90.99
142,2474.43,2771.55,45933.66,2469.68,3590.59,6468.52,46529.96,722690.20,2090.20,651.78,90.99,90.20
143,2459.61,2756.32,45687.76,2453.92,3569.08,6494.42,46311.26,568293.00,5493.00,515.62,90.20,93.00
144,2486.10,2776.52,46145.44,2484.35,3607.51,6521.57,46783.61,2233091.70,10391.70,2040.35,93.00,91.70
145,?,?,?,?,?,?,?,?,?,?,91.70,?
146,?,?,?,?,?,?,?,?,?,?,?,?
147,2556.62,2828.89,47277.10,2561.94,3709.85,6663.79,47957.54,4788994.50,9294.50,4460.64,?,94.50
148,2573.63,2829.62,47579.87,2578.46,3734.53,6709.39,48258.02,3720393.98,6093.98,3502.64,94.50,93.98
149,2563.21,2809.70,47476.64,2562.11,3723.76,6671.76,48138.07,1146991.50,6291.50,1052.12,93.98,91.50
150,?,?,?,?,?,?,?,?,?,?,91.50,?
151,2583.50,2812.75,47806.34,2578.05,3753.24,6724.27,48503.87,6139494.00,26994.00,5728.44,?,94.00
152,?,?,?,?,?,?,?,?,?,?,94.00,?
153,?,?,?,?,?,?,?,?,?,?,?,?
154,2546.43,2796.00,47175.79,2540.78,3699.39,6621.92,47868.36,37791393.98,16293.98,35300.86,?,93.98
155,2569.08,2837.22,47620.68,2555.93,3732.30,6737.34,48323.88,50859294.00,3894.00,47629.95,93.98,94.00
156,2578.21,2888.79,47805.94,2580.38,3745.56,6699.74,48513.29,18829496.00,8396.00,17879.15,94.00,96.00
157,2559.39,2875.78,47573.66,2554.45,3718.21,6716.85,48259.19,702695.99,4595.99,673.90,96.00,95.99
