%310
@RELATION PLGLBLC00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
231,49772.46,50713.14,3237.31,54661.84,101.84,10.06,?,1.84
232,49162.16,50077.30,3210.57,55571.84,61.84,10.20,1.84,1.84
233,49128.05,50032.45,3221.87,2001.84,11.84,0.37,1.84,1.84
234,49846.48,50780.47,3260.69,90021.83,91.83,16.45,1.84,1.83
235,49895.10,50836.47,3260.35,1011.84,21.84,0.19,1.83,1.84
236,?,?,?,?,?,?,1.84,?
237,?,?,?,?,?,?,?,?
238,49818.48,50756.86,3255.45,11.84,11.84,0.00,?,1.84
239,48833.58,49731.02,3197.48,41.84,11.84,0.01,1.84,1.84
240,48537.65,49421.50,3183.87,25081.80,21.80,4.51,1.84,1.80
241,48676.45,49569.11,3204.20,32921.80,51.80,5.93,1.80,1.80
242,48871.98,49771.98,3196.27,101.80,11.80,0.02,1.80,1.80
243,?,?,?,?,?,?,1.80,?
244,?,?,?,?,?,?,?,?
245,49187.22,50099.55,3230.20,231.80,21.80,0.04,?,1.80
246,48968.87,49861.54,3226.75,7721.75,21.75,1.39,1.80,1.75
247,47919.09,48781.63,3174.71,351.83,81.83,0.06,1.75,1.83
248,45830.66,46598.42,3061.25,51.82,11.82,0.01,1.83,1.82
249,46717.04,47514.09,3142.61,10621.79,171.79,1.84,1.82,1.79
250,?,?,?,?,?,?,1.79,?
251,?,?,?,?,?,?,?,?
252,47808.90,48651.54,3199.68,51.79,11.79,0.01,?,1.79
253,48961.51,49839.90,3256.85,231391.87,461.87,42.38,1.79,1.87
254,49437.02,50312.63,3285.29,106141.88,391.88,19.86,1.87,1.88
255,49771.55,50644.38,3303.55,14551.82,51.82,2.65,1.88,1.82
256,49348.61,50196.31,3285.49,6001.82,21.82,1.09,1.82,1.82
257,?,?,?,?,?,?,1.82,?
258,?,?,?,?,?,?,?,?
259,48917.85,49741.35,3260.05,250451.94,151.94,47.43,?,1.94
260,49434.46,50258.11,3286.61,1024132.16,692.16,213.21,1.94,2.16
261,49413.33,50227.43,3277.41,3492502.12,222.12,703.94,2.16,2.12
262,50300.53,51171.25,3316.59,36692.12,72.12,7.78,2.12,2.12
263,50308.19,51202.75,3316.08,409972.25,412.25,90.18,2.12,2.25
264,?,?,?,?,?,?,2.25,?
265,?,?,?,?,?,?,?,?
266,49955.87,50869.00,3291.57,312532.22,212.22,70.19,?,2.22
267,49979.47,50887.67,3275.67,141042.22,122.22,31.16,2.22,2.22
268,50301.69,51221.45,3299.72,195032.25,102.25,42.90,2.22,2.25
269,50936.34,51846.54,3336.44,298982.25,122.25,65.40,2.25,2.25
270,50819.81,51704.53,3352.18,209682.11,292.11,45.03,2.25,2.11
271,?,?,?,?,?,?,2.11,?
272,?,?,?,?,?,?,?,?
273,50301.85,51191.50,3349.29,111202.11,72.11,23.12,?,2.11
274,50782.48,51691.24,3351.68,37142.11,62.11,7.79,2.11,2.11
275,50803.40,51709.58,3364.40,85102.11,102.11,17.29,2.11,2.11
276,50982.03,51911.61,3383.62,22.11,12.11,0.00,2.11,2.11
277,50601.24,51511.63,3381.52,52.11,12.11,0.01,2.11,2.11
278,?,?,?,?,?,?,2.11,?
279,?,?,?,?,?,?,?,?
280,50338.71,51239.47,3383.60,53002.05,62.05,10.86,?,2.05
281,50137.88,51021.26,3368.14,9592.05,42.05,1.96,2.05,2.05
282,50335.02,51215.99,3379.96,136972.04,142.04,27.33,2.05,2.04
283,51806.83,52744.48,3454.41,172602.04,162.04,35.21,2.04,2.04
284,52230.47,53193.87,3477.04,313192.00,312.00,62.43,2.04,2.00
285,?,?,?,?,?,?,2.00,?
286,?,?,?,?,?,?,?,?
287,52520.91,53498.97,3508.85,24842.03,62.03,4.99,?,2.03
288,52590.73,53588.87,3544.07,45102.03,42.03,9.16,2.03,2.03
289,52861.41,53918.41,3548.14,390592.10,312.10,79.86,2.03,2.10
290,52573.59,53571.90,3572.96,2067702.24,742.24,461.81,2.10,2.24
291,52587.24,53572.92,3535.97,1101092.18,542.18,244.79,2.24,2.18
292,?,?,?,?,?,?,2.18,?
