%310
@RELATION AT0000809058
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
224,49580.16,1510.53,877213.15,813.15,114.48,?,13.15
225,49747.66,1507.50,2884813.19,1113.19,377.33,13.15,13.19
226,50223.95,1512.82,226113.18,313.18,29.86,13.19,13.18
227,?,?,?,?,?,13.18,?
228,49976.48,1502.62,7025813.36,713.36,938.79,?,13.36
229,?,?,?,?,?,13.36,?
230,?,?,?,?,?,?,?
231,49772.46,1499.73,390613.20,413.20,51.80,?,13.20
232,49162.16,1472.26,131513.10,613.10,17.18,13.20,13.10
233,49128.05,1477.77,63513.05,213.05,8.30,13.10,13.05
234,49846.48,1471.70,128413.00,1013.00,16.75,13.05,13.00
235,49895.10,1463.61,9191912.88,1712.88,1185.54,13.00,12.88
236,?,?,?,?,?,12.88,?
237,?,?,?,?,?,?,?
238,49818.48,1468.33,2000013.06,713.06,261.11,?,13.06
239,48833.58,1447.65,30150012.84,812.84,3883.99,13.06,12.84
240,48537.65,1440.74,24823012.73,612.73,3175.35,12.84,12.73
241,48676.45,1465.81,230512.80,412.80,29.50,12.73,12.80
242,48871.98,1440.79,2834512.70,1012.70,360.28,12.80,12.70
243,?,?,?,?,?,12.70,?
244,?,?,?,?,?,?,?
245,49187.22,1458.21,9000012.89,212.89,1159.60,?,12.89
246,48968.87,1451.26,7243612.92,712.92,942.16,12.89,12.92
247,47919.09,1426.01,20845412.72,612.72,2671.38,12.92,12.72
248,45830.66,1364.15,012.72,012.72,0.00,12.72,12.72
249,46717.04,1375.61,5290212.84,912.84,679.27,12.72,12.84
250,?,?,?,?,?,12.84,?
251,?,?,?,?,?,?,?
252,47808.90,1385.20,813312.87,412.87,104.66,?,12.87
253,48961.51,1408.19,146712.96,212.96,19.01,12.87,12.96
254,49437.02,1422.23,317013.04,413.04,41.42,12.96,13.04
255,49771.55,1436.34,488013.08,313.08,63.93,13.04,13.08
256,49348.61,1425.63,129013.01,313.01,16.80,13.08,13.01
257,?,?,?,?,?,13.01,?
258,?,?,?,?,?,?,?
259,48917.85,1415.04,30059813.02,813.02,3912.80,?,13.02
260,49434.46,1419.82,013.02,013.02,0.00,13.02,13.02
261,49413.33,1427.60,16180713.21,1013.21,2131.31,13.02,13.21
262,50300.53,1430.45,7909913.19,913.19,1042.54,13.21,13.19
263,50308.19,1424.93,013.19,013.19,0.00,13.19,13.19
264,?,?,?,?,?,13.19,?
265,?,?,?,?,?,?,?
266,49955.87,1413.29,1234613.22,1213.22,161.66,?,13.22
267,49979.47,1407.11,1141813.30,313.30,151.62,13.22,13.30
268,50301.69,1417.72,58513.36,213.36,7.81,13.30,13.36
269,50936.34,1433.07,20191013.60,1313.60,2739.92,13.36,13.60
270,50819.81,1443.45,26905613.70,2713.70,3702.16,13.60,13.70
271,?,?,?,?,?,13.70,?
272,?,?,?,?,?,?,?
273,50301.85,1435.33,3172813.58,2613.58,431.03,?,13.58
274,50782.48,1430.56,28669513.30,7313.30,3936.83,13.58,13.30
275,50803.40,1447.48,18115513.45,713.45,2436.71,13.30,13.45
276,50982.03,1455.40,46628513.39,3913.39,6267.55,13.45,13.39
277,50601.24,1444.69,15172912.90,2212.90,1969.24,13.39,12.90
278,?,?,?,?,?,12.90,?
279,?,?,?,?,?,?,?
280,50338.71,1445.73,312412.85,312.85,40.26,?,12.85
281,50137.88,1430.85,10961012.64,1712.64,1385.14,12.85,12.64
282,50335.02,1441.04,65012.82,412.82,8.29,12.64,12.82
283,51806.83,1467.04,2231912.88,1412.88,289.27,12.82,12.88
284,52230.47,1480.78,637713.13,913.13,83.82,12.88,13.13
285,?,?,?,?,?,13.13,?
286,?,?,?,?,?,?,?
