%310
@RELATION PLMCIMG00012
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
260,13085.22,49434.46,50258.11,3286.61,392549.80,989.80,383.91,9.72,9.80
261,13049.76,49413.33,50227.43,3277.41,1017539.98,1219.98,1009.17,9.80,9.98
262,13124.47,50300.53,51171.25,3316.59,18672910.14,36610.14,1902.02,9.98,10.14
263,13140.38,50308.19,51202.75,3316.08,1766449.97,2899.97,1749.90,10.14,9.97
264,?,?,?,?,?,?,?,9.97,?
265,?,?,?,?,?,?,?,?,?
266,13089.15,49955.87,50869.00,3291.57,1576739.62,3089.62,1535.27,?,9.62
267,13131.43,49979.47,50887.67,3275.67,388969.76,1259.76,380.69,9.62,9.76
268,13114.91,50301.69,51221.45,3299.72,7785610.09,19410.09,769.18,9.76,10.09
269,13233.88,50936.34,51846.54,3336.44,4021710.11,14010.11,404.91,10.09,10.11
270,13346.97,50819.81,51704.53,3352.18,5207010.06,14610.06,527.58,10.11,10.06
271,?,?,?,?,?,?,?,10.06,?
272,?,?,?,?,?,?,?,?,?
273,13314.68,50301.85,51191.50,3349.29,4336610.05,13710.05,432.27,?,10.05
274,13338.19,50782.48,51691.24,3351.68,4598810.10,11210.10,459.16,10.05,10.10
275,13386.01,50803.40,51709.58,3364.40,449029.99,1679.99,448.99,10.10,9.99
276,13476.11,50982.03,51911.61,3383.62,35169410.18,57110.18,3608.83,9.99,10.18
277,13513.64,50601.24,51511.63,3381.52,4304310.18,11610.18,438.32,10.18,10.18
278,?,?,?,?,?,?,?,10.18,?
279,?,?,?,?,?,?,?,?,?
280,13477.58,50338.71,51239.47,3383.60,6956310.18,17010.18,704.69,?,10.18
