%310
@RELATION PLPKN0000018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG30 NUMERIC 
@ATTRIBUTE WIG20 NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE RESPECT NUMERIC 
@ATTRIBUTE WIG30TR NUMERIC 
@ATTRIBUTE WIG20TR NUMERIC 
@ATTRIBUTE WIG-PALIWA NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
176,2363.41,2246.69,44966.09,2357.80,3460.00,3289.02,3514.51,45672.10,110428446.30,163646.30,51039.64,45.80,46.30
177,2357.52,2246.66,44893.99,2333.53,3451.37,3288.98,3498.28,45601.51,165129346.20,274346.20,75850.39,46.30,46.20
178,2286.99,2177.02,43667.37,2250.80,3348.11,3187.03,3353.17,44326.49,294728044.50,509044.50,129761.53,46.20,44.50
179,2357.01,2245.64,44747.79,2334.15,3450.62,3287.49,3524.10,45442.51,244608846.60,298746.60,111521.13,44.50,46.60
180,?,?,?,?,?,?,?,?,?,?,?,46.60,?
181,?,?,?,?,?,?,?,?,?,?,?,?,?
182,2357.66,2237.25,44769.00,2346.58,3451.57,3275.21,3588.05,45461.06,83407647.69,145747.69,39396.60,?,47.69
183,2407.09,2284.76,45533.94,2387.78,3523.94,3344.76,3677.15,46254.71,89287948.21,187948.21,42941.89,47.69,48.21
184,2384.58,2262.92,45184.98,2382.08,3494.73,3316.41,3634.28,45899.36,84118847.75,132447.75,40097.87,48.21,47.75
185,2405.42,2287.54,45613.75,2398.24,3525.27,3352.49,3650.70,46344.42,75335747.90,87247.90,35956.85,47.75,47.90
186,2372.96,2253.49,45110.89,2379.17,3477.69,3302.60,3592.88,45805.34,96136745.85,155145.85,45080.84,47.90,45.85
187,?,?,?,?,?,?,?,?,?,?,?,45.85,?
188,?,?,?,?,?,?,?,?,?,?,?,?,?
189,2336.57,2223.28,44534.34,2329.18,3424.36,3258.31,3511.08,45172.40,78413545.00,179345.00,35573.97,?,45.00
190,2330.27,2218.77,44342.23,2329.35,3415.12,3251.71,3575.89,44969.23,106761545.97,174645.97,47972.47,45.00,45.97
191,2360.11,2244.63,45068.55,2370.74,3482.45,3316.05,3640.56,45727.71,189681646.98,139846.98,87804.85,45.97,46.98
192,2394.81,2279.09,45712.72,2399.69,3533.66,3366.95,3695.25,46390.36,48307247.85,94647.85,23065.38,46.98,47.85
193,2418.20,2302.81,46150.78,2414.72,3568.17,3402.00,3726.32,46839.89,78671448.71,181748.71,38091.00,47.85,48.71
194,?,?,?,?,?,?,?,?,?,?,?,48.71,?
195,?,?,?,?,?,?,?,?,?,?,?,?,?
196,2421.43,2305.78,46218.05,2415.20,3572.94,3406.39,3710.20,46922.43,81617448.51,127248.51,39289.50,?,48.51
197,2418.21,2303.05,46155.10,2404.94,3568.19,3402.35,3696.46,46860.35,120966148.36,141748.36,58474.52,48.51,48.36
198,2424.23,2309.79,46287.08,2417.44,3581.34,3416.47,3712.65,47003.76,146031548.69,198548.69,70796.36,48.36,48.69
199,2418.23,2300.33,46221.23,2417.37,3572.47,3402.47,3742.96,46919.83,60453349.90,111549.90,29427.55,48.69,49.90
200,2427.55,2313.31,46399.74,2416.51,3587.20,3421.67,3710.73,47120.88,41474649.07,76349.07,20381.22,49.90,49.07
201,?,?,?,?,?,?,?,?,?,?,?,49.07,?
202,?,?,?,?,?,?,?,?,?,?,?,?,?
203,2420.11,2311.49,46361.70,2396.23,3576.21,3418.98,3592.72,47075.43,129902547.00,195247.00,61811.46,?,47.00
204,2440.78,2327.28,46714.43,2410.94,3606.75,3442.34,3582.23,47454.90,187641346.73,298346.73,87146.76,47.00,46.73
205,2441.59,2324.17,46835.98,2432.91,3617.32,3446.85,3649.31,47575.74,103729845.89,144645.89,47436.96,46.73,45.89
206,2430.68,2317.80,46713.02,2419.35,3601.16,3437.40,3619.57,47446.69,88135045.00,147145.00,39555.57,45.89,45.00
207,2400.81,2291.10,46258.91,2381.24,3556.91,3397.80,3501.02,46981.22,132894943.00,344443.00,57206.22,45.00,43.00
208,?,?,?,?,?,?,?,?,?,?,?,43.00,?
209,?,?,?,?,?,?,?,?,?,?,?,?,?
210,2411.93,2299.26,46480.62,2399.20,3575.31,3411.77,3544.38,47214.30,76868243.92,159543.92,32855.21,?,43.92
211,2421.34,2307.79,46663.41,2395.38,3589.26,3424.43,3515.15,47398.08,60631543.45,101843.45,26291.51,43.92,43.45
212,2434.27,2326.59,46925.65,2406.95,3608.43,3452.34,3535.64,47676.43,79880843.45,131343.45,34850.69,43.45,43.45
213,2458.52,2351.14,47370.81,2423.45,3644.36,3488.76,3535.46,48147.76,67849843.15,144143.15,29840.03,43.45,43.15
214,2514.09,2401.85,48325.33,2497.76,3726.75,3564.00,3668.03,49133.14,135649344.95,244044.95,60957.26,43.15,44.95
215,?,?,?,?,?,?,?,?,?,?,?,44.95,?
216,?,?,?,?,?,?,?,?,?,?,?,?,?
217,2522.03,2405.73,48458.44,2503.49,3738.51,3569.77,3653.01,49272.86,46600344.75,123844.75,20990.56,?,44.75
218,2491.58,2366.74,47942.81,2488.24,3693.37,3511.91,3670.68,48742.34,38395544.61,90344.61,17182.69,44.75,44.61
219,2511.06,2380.01,48306.55,2509.90,3722.25,3531.59,3731.96,49124.78,89864245.60,114745.60,40788.25,44.61,45.60
220,2541.46,2406.40,48862.88,2531.42,3767.32,3570.76,3728.11,49700.18,61810445.70,142945.70,28426.38,45.60,45.70
221,2549.05,2414.28,49125.36,2525.23,3778.56,3582.45,3688.72,49994.77,49082345.40,114045.40,22244.88,45.70,45.40
222,?,?,?,?,?,?,?,?,?,?,?,45.40,?
223,?,?,?,?,?,?,?,?,?,?,?,?,?
224,2574.11,2440.05,49580.16,2552.44,3815.71,3620.69,3652.67,50476.37,35215945.21,80445.21,15993.34,?,45.21
225,2582.83,2442.30,49747.66,2567.59,3828.64,3624.03,3644.19,50646.05,61801844.85,136644.85,27796.68,45.21,44.85
226,2609.42,2461.22,50223.95,2588.79,3868.05,3652.11,3697.35,51152.95,52651345.31,146045.31,23901.46,44.85,45.31
227,?,?,?,?,?,?,?,?,?,?,?,45.31,?
228,2594.32,2445.60,49976.48,2574.59,3845.67,3628.93,3656.29,50906.11,71733944.75,120644.75,32321.98,?,44.75
229,?,?,?,?,?,?,?,?,?,?,?,44.75,?
230,?,?,?,?,?,?,?,?,?,?,?,?,?
231,2583.71,2438.83,49772.46,2578.29,3829.94,3618.88,3679.88,50713.14,21207745.00,51145.00,9500.25,?,45.00
232,2548.00,2405.32,49162.16,2541.92,3777.01,3569.15,3605.16,50077.30,41003543.80,133343.80,18092.51,45.00,43.80
233,2526.73,2383.15,49128.05,2539.12,3769.54,3568.90,3600.42,50032.45,45335544.16,91844.16,20107.07,43.80,44.16
234,2566.11,2420.68,49846.48,2592.17,3828.29,3625.10,3684.73,50780.47,213168046.19,191846.19,97114.73,44.16,46.19
