%310
@RELATION PLACTIN00018
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE sWIG80 NUMERIC 
@ATTRIBUTE WIGdiv NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
167,?,?,?,?,?,?,?,?,?,?
168,11950.70,1038.28,48131.61,48917.56,3100.24,274536.40,2236.40,99.77,?,36.40
169,12001.25,1038.59,48119.72,48891.04,3120.39,1811935.70,2635.70,645.79,36.40,35.70
170,11995.61,1034.52,47743.10,48509.84,3122.21,14230036.68,24036.68,5145.31,35.70,36.68
171,11755.38,998.13,45870.00,46587.68,3038.18,1716036.03,9136.03,623.06,36.68,36.03
172,11698.05,976.71,44732.92,45456.77,3001.68,778634.85,7834.85,274.91,36.03,34.85
173,?,?,?,?,?,?,?,?,34.85,?
174,?,?,?,?,?,?,?,?,?,?
175,11694.70,975.16,44824.62,45531.46,2990.89,794334.35,9634.35,272.63,?,34.35
176,11846.22,979.40,44966.09,45672.10,2999.31,249535.99,3435.99,87.48,34.35,35.99
177,11772.39,972.28,44893.99,45601.51,2972.55,458936.19,4636.19,163.99,35.99,36.19
178,11665.86,940.51,43667.37,44326.49,2915.58,549936.00,4536.00,197.60,36.19,36.00
179,11716.43,962.64,44747.79,45442.51,2948.80,61035.78,1535.78,21.71,36.00,35.78
180,?,?,?,?,?,?,?,?,35.78,?
181,?,?,?,?,?,?,?,?,?,?
182,11756.83,960.62,44769.00,45461.06,2963.91,144235.40,1935.40,50.55,?,35.40
183,11805.57,976.14,45533.94,46254.71,2981.48,255735.75,3135.75,90.18,35.40,35.75
184,11736.24,975.88,45184.98,45899.36,2971.57,374836.24,4436.24,135.82,35.75,36.24
185,11820.50,982.38,45613.75,46344.42,2988.19,1290436.30,3936.30,470.29,36.24,36.30
186,11822.63,971.06,45110.89,45805.34,2977.06,162236.30,2336.30,58.99,36.30,36.30
187,?,?,?,?,?,?,?,?,36.30,?
