%310
@RELATION WIG-Plus
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
204,15567.74,3579.27,3579.27,3.2001,3.2001,7465.77,852.44
205,15542.24,3579.60,3579.60,3.1800,3.1800,9088.42,858.02
206,15555.61,3605.19,3605.19,3.2143,3.2143,7249.89,858.31
207,15558.83,3613.16,3613.16,3.1831,3.1831,5860.10,858.83
208,?,?,?,?,?,?,?
209,?,?,?,?,?,?,?
210,15521.97,3599.14,3599.14,3.1859,3.1859,6223.42,862.18
211,15520.59,3616.47,3616.47,3.1798,3.1798,5978.09,870.15
212,15499.54,3626.37,3626.37,3.1929,3.1929,8168.04,878.25
213,15628.02,3675.74,3675.74,3.1961,3.1961,9890.40,881.30
214,15658.36,3689.59,3689.59,3.2201,3.2201,10749.65,884.10
215,?,?,?,?,?,?,?
216,?,?,?,?,?,?,?
217,15612.13,3692.95,3692.95,3.1771,3.1771,9391.57,891.59
218,15518.74,3665.77,3665.77,3.1744,3.1744,12529.15,891.86
219,15470.67,3654.01,3654.01,3.1725,3.1725,14282.53,898.91
220,15498.32,3669.12,3669.12,3.1503,3.1503,13913.60,903.85
221,15425.51,3660.11,3660.11,3.1336,3.1336,11134.42,909.96
222,?,?,?,?,?,?,?
223,?,?,?,?,?,?,?
224,15419.68,3669.95,3669.95,3.1510,3.1510,13610.48,918.93
225,15451.01,3684.44,3684.44,3.1489,3.1489,16700.50,922.16
226,15337.66,3669.27,3669.27,3.1643,3.1643,11268.28,928.58
227,15112.19,3606.12,3606.12,?,?,?,?
228,15081.47,3602.78,3602.78,3.1665,3.1665,7243.98,928.83
229,?,?,?,?,?,?,?
230,?,?,?,?,?,?,?
231,15010.74,3589.09,3589.09,3.1873,3.1873,15641.24,919.57
232,15002.99,3613.59,3613.59,3.1761,3.1761,10530.49,914.58
233,14897.55,3599.79,3599.79,3.1698,3.1698,14131.07,920.30
234,14963.74,3638.71,3638.71,3.1811,3.1811,14234.43,931.73
235,15010.51,3657.79,3657.79,3.1673,3.1673,13529.67,930.27
236,?,?,?,?,?,?,?
237,?,?,?,?,?,?,?
238,14946.46,3657.57,3657.57,3.1658,3.1658,13036.82,927.73
239,14776.13,3578.52,3578.52,3.1849,3.1849,17507.30,921.40
240,14824.51,3593.35,3593.35,3.1840,3.1840,11697.10,919.00
241,14840.95,3620.30,3620.30,3.2269,3.2269,15500.20,924.88
242,14810.31,3589.87,3589.87,3.2209,3.2209,19667.54,925.91
243,?,?,?,?,?,?,?
244,?,?,?,?,?,?,?
245,?,?,?,3.2164,3.2164,14873.53,929.89
246,14833.96,3612.61,3612.61,3.2433,3.2433,13749.21,926.93
247,14930.87,3649.04,3649.04,3.2387,3.2387,13129.16,918.91
248,14937.48,3658.78,3658.78,3.2463,3.2463,25154.13,890.19
249,14922.50,3660.01,3660.01,3.2732,3.2732,13265.59,902.70
250,?,?,?,?,?,?,?
251,?,?,?,?,?,?,?
252,15063.12,3706.18,3706.18,3.2357,3.2357,11194.45,916.76
253,15191.06,3729.02,3729.02,3.2181,3.2181,19073.00,931.39
254,15326.60,3725.01,3725.01,3.1955,3.1955,9916.60,934.25
255,15300.64,3715.97,3715.97,3.1782,3.1782,16399.29,943.52
256,15376.06,3722.18,3722.18,3.1696,3.1696,13267.47,948.06
257,?,?,?,?,?,?,?
258,?,?,?,?,?,?,?
259,15494.78,3717.85,3717.85,3.1435,3.1435,16777.78,956.00
260,15529.73,3745.70,3745.70,3.1552,3.1552,17737.53,960.97
261,15676.94,3783.64,3783.64,3.1689,3.1689,14569.02,957.28
262,15636.55,3789.38,3789.38,3.0833,3.0833,16033.08,963.32
263,15451.09,3774.73,3774.73,3.1152,3.1152,14538.69,962.49
264,?,?,?,?,?,?,?
265,?,?,?,?,?,?,?
266,15401.38,3765.29,3765.29,3.1260,3.1260,13603.68,959.46
267,15334.59,3768.25,3768.25,3.1338,3.1338,12188.03,957.44
268,15273.26,3761.10,3761.10,3.1234,3.1234,14163.67,961.02
269,15328.30,3787.43,3787.43,3.1277,3.1277,26030.80,969.92
270,15258.24,3781.59,3781.59,3.1328,3.1328,17649.19,977.10
271,?,?,?,?,?,?,?
272,?,?,?,?,?,?,?
273,15129.67,3771.48,3771.48,3.1227,3.1227,17344.37,983.39
274,15191.70,3817.98,3817.98,3.1170,3.1170,17913.63,984.17
275,15133.14,3815.02,3815.02,3.1212,3.1212,15997.21,987.01
276,14996.48,3774.34,3774.34,3.0951,3.0951,14677.00,988.62
277,15072.58,3807.75,3807.75,3.0902,3.0902,13442.33,992.25
278,?,?,?,?,?,?,?
279,?,?,?,?,?,?,?
280,14936.24,3770.38,3770.38,3.0976,3.0976,12561.18,995.75
281,14776.53,3694.83,3694.83,3.0873,3.0873,13678.11,993.38
282,14802.98,3677.78,3677.78,3.1057,3.1057,14646.72,996.97
283,15126.07,3760.75,3760.75,3.0994,3.0994,22094.40,1011.15
284,15237.11,3791.87,3791.87,3.0850,3.0850,19184.99,1024.81
285,?,?,?,?,?,?,?
286,?,?,?,?,?,?,?
287,15301.26,3815.28,3815.28,3.0936,3.0936,19249.85,1029.64
288,15168.01,3794.01,3794.01,3.0893,3.0893,20367.43,1039.64
289,15373.83,3839.43,3839.43,3.0854,3.0854,18476.88,1036.86
290,15371.65,3863.15,3863.15,3.0625,3.0625,12725.89,1049.92
291,15399.65,3914.28,3914.28,3.0506,3.0506,17418.63,1051.86
292,?,?,?,?,?,?,?
293,?,?,?,?,?,?,?
294,15392.20,3920.05,3920.05,3.0620,3.0620,17588.92,1066.25
295,15467.66,3929.57,3929.57,3.0564,3.0564,21586.74,1078.51
296,15413.33,3907.07,3907.07,3.0385,3.0385,14388.72,1074.66
297,15509.21,3928.96,3928.96,3.0323,3.0323,19943.23,1083.34
298,15570.28,3943.36,3943.36,3.0326,3.0326,22637.95,1095.80
299,?,?,?,?,?,?,?
300,?,?,?,?,?,?,?
301,15568.93,3940.13,3940.13,3.0271,3.0271,27786.66,1105.65
302,15680.35,3952.34,3952.34,3.0436,3.0436,28136.55,1114.63
303,15618.76,3930.62,3930.62,3.0433,3.0433,24915.72,1107.62
304,15545.75,3919.71,3919.71,3.0507,3.0507,18517.68,1109.36
305,15615.55,3922.04,3922.04,?,?,?,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,15619.64,3943.52,3943.52,3.0436,3.0436,18723.68,1108.16
309,15630.45,3941.67,3941.67,3.0981,3.0981,20297.77,1101.37
310,15733.62,3928.06,3928.06,3.0896,3.0896,20872.86,1106.35
340,15773.258690459654,3955.732892747954,3006.5164887559176,3.242646836230678,4.274749244608683,?,?
370,15916.432538019446,4014.2969659541477,3038.5361136515453,3.243445977637349,4.281527215426011,?,?
400,16059.606385579236,4072.8610391603415,3070.555738547173,3.2442451190440202,4.288305186243338,?,?
490,16489.127928258607,4248.553258778922,3166.614613234056,3.2466425432640333,4.308639098695322,?,?
670,17348.17101361735,4599.937698016085,3358.7323626078214,3.2514373917040587,4.349306923599286,?,?
