%310
@RELATION PLBPRMT00011
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
213,881.30,47370.81,1808.90,48147.76,305.60,35.60,0.17,5.63,5.60
214,884.10,48325.33,1853.85,49133.14,37705.40,65.40,20.31,5.60,5.40
215,?,?,?,?,?,?,?,5.40,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1867.91,49272.86,7565.46,55.46,4.12,?,5.46
218,891.86,47942.81,1866.84,48742.34,306405.90,365.90,169.11,5.46,5.90
219,898.91,48306.55,1881.25,49124.78,279305.90,285.90,162.14,5.90,5.90
220,903.85,48862.88,1886.72,49700.18,4025.88,55.88,2.32,5.90,5.88
221,909.96,49125.36,1893.84,49994.77,205.87,25.87,0.12,5.88,5.87
222,?,?,?,?,?,?,?,5.87,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1919.56,50476.37,62705.89,135.89,36.89,?,5.89
225,922.16,49747.66,1936.51,50646.05,87755.88,145.88,50.49,5.89,5.88
226,928.58,50223.95,1962.38,51152.95,71215.72,275.72,39.78,5.88,5.72
227,?,?,?,?,?,?,?,5.72,?
228,928.83,49976.48,1966.79,50906.11,19105.65,35.65,10.61,?,5.65
229,?,?,?,?,?,?,?,5.65,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1945.70,50713.14,29545.49,65.49,16.26,?,5.49
232,914.58,49162.16,1917.73,50077.30,55925.70,145.70,30.54,5.49,5.70
233,920.30,49128.05,1916.46,50032.45,05.70,05.70,0.00,5.70,5.70
234,931.73,49846.48,1919.07,50780.47,4005.50,25.50,2.20,5.70,5.50
235,930.27,49895.10,1931.18,50836.47,05.50,05.50,0.00,5.50,5.50
236,?,?,?,?,?,?,?,5.50,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,1930.40,50756.86,16405.50,95.50,8.80,?,5.50
239,921.40,48833.58,1906.94,49731.02,19845.35,55.35,10.62,5.50,5.35
240,919.00,48537.65,1893.65,49421.50,105.48,15.48,0.05,5.35,5.48
241,924.88,48676.45,1898.85,49569.11,2305.40,45.40,1.22,5.48,5.40
242,925.91,48871.98,1888.37,49771.98,2105.41,35.41,1.13,5.40,5.41
243,?,?,?,?,?,?,?,5.41,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,1867.21,50099.55,15.40,15.40,0.01,?,5.40
246,926.93,48968.87,1863.87,49861.54,23185.40,75.40,12.10,5.40,5.40
247,918.91,47919.09,1824.69,48781.63,71105.49,125.49,37.51,5.40,5.49
248,890.19,45830.66,1761.23,46598.42,70905.14,165.14,36.17,5.49,5.14
249,902.70,46717.04,1820.13,47514.09,71435.03,265.03,35.70,5.14,5.03
250,?,?,?,?,?,?,?,5.03,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,1848.42,48651.54,12425.03,45.03,6.25,?,5.03
253,931.39,48961.51,1921.50,49839.90,36335.17,115.17,18.49,5.03,5.17
254,934.25,49437.02,1935.28,50312.63,51045.30,165.30,26.54,5.17,5.30
255,943.52,49771.55,1981.13,50644.38,10155.30,85.30,5.38,5.30,5.30
256,948.06,49348.61,1986.17,50196.31,16565.34,75.34,8.79,5.30,5.34
257,?,?,?,?,?,?,?,5.34,?
258,?,?,?,?,?,?,?,?,?
259,956.00,48917.85,1997.16,49741.35,14065.35,115.35,7.54,?,5.35
260,960.97,49434.46,1994.79,50258.11,15395.34,85.34,8.13,5.35,5.34
261,957.28,49413.33,1985.11,50227.43,12895.38,95.38,6.83,5.34,5.38
262,963.32,50300.53,2000.89,51171.25,31905.46,85.46,17.22,5.38,5.46
263,962.49,50308.19,2005.00,51202.75,22695.28,95.28,12.00,5.46,5.28
264,?,?,?,?,?,?,?,5.28,?
265,?,?,?,?,?,?,?,?,?
266,959.46,49955.87,1988.08,50869.00,335.44,15.44,0.18,?,5.44
267,957.44,49979.47,1972.58,50887.67,179675.89,1605.89,101.96,5.44,5.89
268,961.02,50301.69,1979.81,51221.45,63815.88,185.88,37.49,5.89,5.88
269,969.92,50936.34,1986.14,51846.54,32585.89,105.89,18.78,5.88,5.89
270,977.10,50819.81,1999.08,51704.53,4305.70,105.70,2.45,5.89,5.70
271,?,?,?,?,?,?,?,5.70,?
272,?,?,?,?,?,?,?,?,?
273,983.39,50301.85,2010.06,51191.50,10725.65,35.65,5.97,?,5.65
274,984.17,50782.48,2007.69,51691.24,20505.83,45.83,11.61,5.65,5.83
275,987.01,50803.40,2016.99,51709.58,05.83,05.83,0.00,5.83,5.83
276,988.62,50982.03,2073.65,51911.61,10565.79,95.79,6.07,5.83,5.79
277,992.25,50601.24,2097.98,51511.63,21155.79,155.79,12.14,5.79,5.79
278,?,?,?,?,?,?,?,5.79,?
279,?,?,?,?,?,?,?,?,?
280,995.75,50338.71,2120.60,51239.47,32215.60,85.60,18.01,?,5.60
281,993.38,50137.88,2131.10,51021.26,5555.65,55.65,3.16,5.60,5.65
282,996.97,50335.02,2126.57,51215.99,3355.79,65.79,1.90,5.65,5.79
283,1011.15,51806.83,2150.38,52744.48,66355.89,215.89,38.74,5.79,5.89
284,1024.81,52230.47,2175.63,53193.87,11595.81,75.81,6.73,5.89,5.81
285,?,?,?,?,?,?,?,5.81,?
286,?,?,?,?,?,?,?,?,?
287,1029.64,52520.91,2196.86,53498.97,665.97,25.97,0.39,?,5.97
288,1039.64,52590.73,2249.42,53588.87,73095.90,295.90,43.27,5.97,5.90
289,1036.86,52861.41,2267.93,53918.41,21916.00,66.00,12.94,5.90,6.00
290,1049.92,52573.59,2280.53,53571.90,8765.98,95.98,5.20,6.00,5.98
291,1051.86,52587.24,2320.78,53572.92,10075.89,55.89,5.92,5.98,5.89
292,?,?,?,?,?,?,?,5.89,?
293,?,?,?,?,?,?,?,?,?
294,1066.25,53853.55,2342.90,54903.39,87006.03,206.03,52.13,?,6.03
295,1078.51,53781.81,2351.77,54818.06,20806.05,146.05,12.46,6.03,6.05
296,1074.66,53389.74,2357.93,54433.41,35685.90,95.90,21.13,6.05,5.90
297,1083.34,53994.46,2411.97,55063.75,26.03,26.03,0.01,5.90,6.03
298,1095.80,53887.13,2452.72,55023.42,54575.96,185.96,32.57,6.03,5.96
299,?,?,?,?,?,?,?,5.96,?
300,?,?,?,?,?,?,?,?,?
301,1105.65,54180.04,2458.33,55362.19,11525.98,75.98,6.92,?,5.98
302,1114.63,54536.95,2476.37,55688.45,125426.00,376.00,75.67,5.98,6.00
303,1107.62,54095.32,2472.94,55240.01,79306.35,236.35,49.23,6.00,6.35
304,1109.36,53607.86,2475.98,54734.18,38226.40,116.40,24.25,6.35,6.40
305,?,?,?,?,?,?,?,6.40,?
306,?,?,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?,?,?
308,1108.16,53989.37,2482.39,55121.60,1084,3,6.82,?,6.29
309,1101.37,53504.47,2450.55,54600.05,18349,26,113.71,6.29,6.25
310,1106.35,53924.01,2477.66,55035.36,10151,10,63.24,6.25,6.29
340,991.5027484429278,45857.110734846676,2077.6816212987255,47106.0108522239,?,?,?,?,?,? 
370,1011.5865587108091,46189.882480874876,2130.4556810728736,47398.32393415799,?,?,?,?,?,? 
400,1031.6703689786905,46522.654226903076,2183.229740847022,47690.63701609208,?,?,?,?,?,? 
490,1091.9217997823343,47520.969464987684,2341.551920169468,48567.57626189435,?,?,?,?,?,? 
670,1212.4246613896223,49517.5999411569,2658.1962788143587,50321.45475349891,?,?,?,?,?,? 
