%310
@RELATION LT0000127466
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-SPOZYW NUMERIC 
@ATTRIBUTE WIG-CEE NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
171,864.38,45870.00,3150.91,807.19,99590.75,50.75,7.47,0.75,0.75
172,855.18,44732.92,3055.25,784.14,281130.76,100.76,21.37,0.75,0.76
173,?,?,?,?,?,?,?,0.76,?
174,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,3144.77,817.50,00.76,00.76,0.00,?,0.76
176,863.23,44966.09,3152.21,815.69,513440.77,110.77,39.17,0.76,0.77
177,858.05,44893.99,3120.81,812.28,113120.83,50.83,8.96,0.77,0.83
178,847.97,43667.37,3067.07,810.66,70000.84,50.84,5.89,0.83,0.84
179,848.08,44747.79,3103.44,828.31,3960.72,30.72,0.31,0.84,0.72
180,?,?,?,?,?,?,?,0.72,?
181,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,3106.66,828.89,00.72,00.72,0.00,?,0.72
183,853.37,45533.94,3110.28,834.81,00.72,00.72,0.00,0.72,0.72
184,850.45,45184.98,3116.57,831.67,00.72,00.72,0.00,0.72,0.72
185,855.94,45613.75,3145.35,833.56,50.79,10.79,0.00,0.72,0.79
186,851.88,45110.89,3176.37,829.03,00.79,00.79,0.00,0.79,0.79
187,?,?,?,?,?,?,?,0.79,?
188,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,3202.26,829.35,5000.79,10.79,0.40,?,0.79
190,842.60,44342.23,3223.44,835.95,00.79,00.79,0.00,0.79,0.79
191,844.03,45068.55,3278.06,834.08,00.79,00.79,0.00,0.79,0.79
192,845.84,45712.72,3306.79,846.83,70000.79,10.79,5.53,0.79,0.79
193,849.99,46150.78,3344.00,851.12,00.79,00.79,0.00,0.79,0.79
194,?,?,?,?,?,?,?,0.79,?
195,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,3318.87,841.34,00.79,00.79,0.00,?,0.79
197,847.84,46155.10,3320.24,847.20,00.79,00.79,0.00,0.79,0.79
198,845.85,46287.08,3333.09,841.92,00.79,00.79,0.00,0.79,0.79
199,845.70,46221.23,3389.39,835.62,00.79,00.79,0.00,0.79,0.79
200,848.06,46399.74,3370.14,827.03,18090.81,40.81,1.47,0.79,0.81
201,?,?,?,?,?,?,?,0.81,?
202,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,3363.21,836.07,00.81,00.81,0.00,?,0.81
204,852.44,46714.43,3398.88,826.21,00.81,00.81,0.00,0.81,0.81
205,858.02,46835.98,3451.39,829.10,00.81,00.81,0.00,0.81,0.81
206,858.31,46713.02,3417.55,833.47,00.81,00.81,0.00,0.81,0.81
207,858.83,46258.91,3376.81,828.78,100.87,10.87,0.01,0.81,0.87
208,?,?,?,?,?,?,?,0.87,?
209,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,3407.34,828.93,136900.87,70.87,11.72,?,0.87
211,870.15,46663.41,3422.75,830.71,50000.94,30.94,4.49,0.87,0.94
212,878.25,46925.65,3384.71,834.03,98000.94,70.94,8.76,0.94,0.94
213,881.30,47370.81,3341.99,828.08,106900.94,90.94,10.10,0.94,0.94
214,884.10,48325.33,3426.64,832.32,116200.94,70.94,10.92,0.94,0.94
215,?,?,?,?,?,?,?,0.94,?
216,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,3483.43,832.30,48770.96,30.96,4.62,?,0.96
218,891.86,47942.81,3486.01,828.82,15000.94,10.94,1.41,0.96,0.94
219,898.91,48306.55,3527.25,825.54,62200.94,40.94,5.85,0.94,0.94
220,903.85,48862.88,3579.17,817.92,243230.94,60.94,22.86,0.94,0.94
221,909.96,49125.36,3499.45,808.11,201730.94,70.94,18.97,0.94,0.94
222,?,?,?,?,?,?,?,0.94,?
223,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,3519.19,810.35,713590.99,190.99,70.50,?,0.99
225,922.16,49747.66,3538.38,809.96,36700.95,30.95,3.51,0.99,0.95
226,928.58,50223.95,3530.29,810.20,10000.96,10.96,0.96,0.95,0.96
227,?,?,?,?,?,?,?,0.96,?
228,928.83,49976.48,3459.16,807.81,125211.02,81.02,12.77,?,1.02
229,?,?,?,?,?,?,?,1.02,?
230,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,3428.34,806.40,1345171.06,231.06,142.67,?,1.06
232,914.58,49162.16,3400.95,797.53,156051.07,71.07,16.36,1.06,1.07
233,920.30,49128.05,3447.66,799.53,01.07,01.07,0.00,1.07,1.07
234,931.73,49846.48,3478.42,808.23,46051.06,11.06,4.88,1.07,1.06
235,930.27,49895.10,3467.02,807.44,74591.08,61.08,8.05,1.06,1.08
236,?,?,?,?,?,?,?,1.08,?
237,?,?,?,?,?,?,?,?,?
238,927.73,49818.48,3495.18,802.90,14591.08,21.08,1.58,?,1.08
239,921.40,48833.58,3423.51,801.21,171001.10,61.10,18.49,1.08,1.10
240,919.00,48537.65,3384.22,809.89,428681.10,101.10,46.31,1.10,1.10
241,924.88,48676.45,3385.51,810.38,29841.14,31.14,3.28,1.10,1.14
242,925.91,48871.98,3363.18,814.59,9251.12,11.12,1.04,1.14,1.12
243,?,?,?,?,?,?,?,1.12,?
244,?,?,?,?,?,?,?,?,?
245,929.89,49187.22,3393.26,810.85,80201.12,21.12,8.99,?,1.12
246,926.93,48968.87,3405.95,813.16,3581.15,31.15,0.41,1.12,1.15
247,918.91,47919.09,3338.86,809.19,66681.25,111.25,7.92,1.15,1.25
248,890.19,45830.66,3280.10,802.87,8661.20,21.20,1.04,1.25,1.20
249,902.70,46717.04,3320.52,812.70,1331.24,11.24,0.16,1.20,1.24
250,?,?,?,?,?,?,?,1.24,?
251,?,?,?,?,?,?,?,?,?
252,916.76,47808.90,3374.64,814.52,154571.24,121.24,19.17,?,1.24
253,931.39,48961.51,3449.10,825.20,14001.24,21.24,1.74,1.24,1.24
254,934.25,49437.02,3502.00,845.31,27971.26,31.26,3.52,1.24,1.26
255,943.52,49771.55,3561.86,847.48,7001.25,11.25,0.88,1.26,1.25
256,948.06,49348.61,3556.85,847.60,3151.25,21.25,0.39,1.25,1.25
257,?,?,?,?,?,?,?,1.25,?
