%310
@RELATION WIG-ENERG
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
256,15376.06,3722.18,3722.18,3.1696,3.1696,100135.16,3638.67
257,?,?,?,?,?,?,?
258,?,?,?,?,?,?,?
259,15494.78,3717.85,3717.85,3.1435,3.1435,64641.01,3612.56
260,15529.73,3745.70,3745.70,3.1552,3.1552,48223.38,3636.53
261,15676.94,3783.64,3783.64,3.1689,3.1689,44362.24,3635.76
262,15636.55,3789.38,3789.38,3.0833,3.0833,86558.27,3688.14
263,15451.09,3774.73,3774.73,3.1152,3.1152,101491.13,3741.62
264,?,?,?,?,?,?,?
265,?,?,?,?,?,?,?
266,15401.38,3765.29,3765.29,3.1260,3.1260,105065.22,3743.20
267,15334.59,3768.25,3768.25,3.1338,3.1338,108458.09,3729.68
268,15273.26,3761.10,3761.10,3.1234,3.1234,79122.70,3691.44
269,15328.30,3787.43,3787.43,3.1277,3.1277,29852.02,3687.65
270,15258.24,3781.59,3781.59,3.1328,3.1328,63612.85,3673.80
271,?,?,?,?,?,?,?
272,?,?,?,?,?,?,?
273,15129.67,3771.48,3771.48,3.1227,3.1227,53356.18,3605.39
274,15191.70,3817.98,3817.98,3.1170,3.1170,54744.55,3649.03
275,15133.14,3815.02,3815.02,3.1212,3.1212,47639.94,3673.66
276,14996.48,3774.34,3774.34,3.0951,3.0951,32228.28,3672.11
277,15072.58,3807.75,3807.75,3.0902,3.0902,27301.19,3640.08
278,?,?,?,?,?,?,?
279,?,?,?,?,?,?,?
280,14936.24,3770.38,3770.38,3.0976,3.0976,39949.77,3608.90
281,14776.53,3694.83,3694.83,3.0873,3.0873,44501.06,3604.78
282,14802.98,3677.78,3677.78,3.1057,3.1057,54896.82,3633.45
283,15126.07,3760.75,3760.75,3.0994,3.0994,75639.68,3694.82
284,15237.11,3791.87,3791.87,3.0850,3.0850,84464.72,3719.30
285,?,?,?,?,?,?,?
286,?,?,?,?,?,?,?
287,15301.26,3815.28,3815.28,3.0936,3.0936,43712.89,3743.52
288,15168.01,3794.01,3794.01,3.0893,3.0893,89574.89,3744.11
289,15373.83,3839.43,3839.43,3.0854,3.0854,58428.41,3769.61
290,15371.65,3863.15,3863.15,3.0625,3.0625,43677.13,3732.54
291,15399.65,3914.28,3914.28,3.0506,3.0506,50095.82,3774.63
292,?,?,?,?,?,?,?
293,?,?,?,?,?,?,?
294,15392.20,3920.05,3920.05,3.0620,3.0620,71744.49,3866.50
295,15467.66,3929.57,3929.57,3.0564,3.0564,158248.99,3930.93
296,15413.33,3907.07,3907.07,3.0385,3.0385,46295.18,3892.49
297,15509.21,3928.96,3928.96,3.0323,3.0323,46915.09,3937.19
298,15570.28,3943.36,3943.36,3.0326,3.0326,44036.32,3893.23
299,?,?,?,?,?,?,?
300,?,?,?,?,?,?,?
301,15568.93,3940.13,3940.13,3.0271,3.0271,49379.16,3876.52
302,15680.35,3952.34,3952.34,3.0436,3.0436,92046.82,3865.81
303,15618.76,3930.62,3930.62,3.0433,3.0433,83640.35,3919.40
304,15545.75,3919.71,3919.71,3.0507,3.0507,55164.46,3840.16
305,15615.55,3922.04,3922.04,?,?,?,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,15619.64,3943.52,3943.52,3.0436,3.0436,55990.80,3895.57
309,15630.45,3941.67,3941.67,3.0981,3.0981,64171.37,3792.45
310,15733.62,3928.06,3928.06,3.0896,3.0896,36565.59,3830.02
340,15773.258690459654,3955.732892747954,3006.5164887559176,3.242646836230678,4.274749244608683,?,?
370,15916.432538019446,4014.2969659541477,3038.5361136515453,3.243445977637349,4.281527215426011,?,?
400,16059.606385579236,4072.8610391603415,3070.555738547173,3.2442451190440202,4.288305186243338,?,?
490,16489.127928258607,4248.553258778922,3166.614613234056,3.2466425432640333,4.308639098695322,?,?
670,17348.17101361735,4599.937698016085,3358.7323626078214,3.2514373917040587,4.349306923599286,?,?
