%310
@RELATION PLINPRO00015
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-DEWEL NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
207,858.83,46258.91,1469.58,46981.22,3015.00,674.44,24.44,0.30,4.45,4.44
208,?,?,?,?,?,?,?,?,4.44,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1481.47,47214.30,3032.94,24.44,24.44,0.01,?,4.44
211,870.15,46663.41,1464.82,47398.08,3038.42,24.44,24.44,0.01,4.44,4.44
212,878.25,46925.65,1472.71,47676.43,3046.08,4024.44,34.44,1.78,4.44,4.44
213,881.30,47370.81,1481.84,48147.76,3060.17,04.44,04.44,0.00,4.44,4.44
214,884.10,48325.33,1499.33,49133.14,3110.79,14.44,14.44,0.00,4.44,4.44
215,?,?,?,?,?,?,?,?,4.44,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1492.08,49272.86,3127.41,1214.44,24.44,0.54,?,4.44
218,891.86,47942.81,1487.96,48742.34,3127.38,14.40,14.40,0.00,4.44,4.40
219,898.91,48306.55,1495.92,49124.78,3168.23,04.40,04.40,0.00,4.40,4.40
220,903.85,48862.88,1508.03,49700.18,3190.86,24.40,24.40,0.01,4.40,4.40
221,909.96,49125.36,1513.10,49994.77,3206.86,14.40,14.40,0.00,4.40,4.40
222,?,?,?,?,?,?,?,?,4.40,?
223,?,?,?,?,?,?,?,?,?,?
224,918.93,49580.16,1510.53,50476.37,3225.79,2334.40,44.40,1.03,?,4.40
225,922.16,49747.66,1507.50,50646.05,3233.22,14.40,14.40,0.00,4.40,4.40
226,928.58,50223.95,1512.82,51152.95,3271.49,33564.47,64.47,14.83,4.40,4.47
227,?,?,?,?,?,?,?,?,4.47,?
228,928.83,49976.48,1502.62,50906.11,3253.28,15504.47,64.47,6.95,?,4.47
229,?,?,?,?,?,?,?,?,4.47,?
230,?,?,?,?,?,?,?,?,?,?
231,919.57,49772.46,1499.73,50713.14,3237.31,3994.47,24.47,1.79,?,4.47
232,914.58,49162.16,1472.26,50077.30,3210.57,13804.45,24.45,6.18,4.47,4.45
