%310
@RELATION PLMSTWS00019
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE WIG-Plus NUMERIC 
@ATTRIBUTE WIG NUMERIC 
@ATTRIBUTE WIG-BUDOW NUMERIC 
@ATTRIBUTE WIG-Poland NUMERIC 
@ATTRIBUTE InvestorMS NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE transactions NUMERIC 
@ATTRIBUTE gainValue NUMERIC 
@ATTRIBUTE before NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
159,?,?,?,?,?,?,?,?,7.19,?
160,?,?,?,?,?,?,?,?,?,?
161,870.65,48495.01,1856.85,49207.65,3065.91,256067.40,957.40,190.85,?,7.40
162,870.60,48324.52,1866.45,49050.96,3074.89,391377.45,1257.45,292.81,7.40,7.45
163,878.91,48383.93,1901.79,49098.70,3098.83,391667.20,1147.20,285.45,7.45,7.20
164,877.48,48152.82,1913.84,48890.47,3089.32,371586.90,1076.90,262.84,7.20,6.90
165,880.65,48273.42,1917.53,49057.66,3092.65,283656.80,1016.80,194.60,6.90,6.80
166,?,?,?,?,?,?,?,?,6.80,?
167,?,?,?,?,?,?,?,?,?,?
168,883.59,48131.61,1911.93,48917.56,3100.24,935526.14,2646.14,565.96,?,6.14
169,886.71,48119.72,1917.62,48891.04,3120.39,532206.20,1816.20,316.61,6.14,6.20
170,885.25,47743.10,1923.19,48509.84,3122.21,377895.56,1615.56,219.23,6.20,5.56
171,864.38,45870.00,1891.03,46587.68,3038.18,1160534.99,2964.99,582.75,5.56,4.99
172,855.18,44732.92,1879.16,45456.77,3001.68,292065.31,1025.31,158.40,4.99,5.31
173,?,?,?,?,?,?,?,?,5.31,?
174,?,?,?,?,?,?,?,?,?,?
175,857.74,44824.62,1899.94,45531.46,2990.89,706636.23,2066.23,438.08,?,6.23
176,863.23,44966.09,1919.70,45672.10,2999.31,624486.45,1946.45,411.32,6.23,6.45
177,858.05,44893.99,1923.12,45601.51,2972.55,152686.46,686.46,96.94,6.45,6.46
178,847.97,43667.37,1881.89,44326.49,2915.58,180206.30,606.30,114.12,6.46,6.30
179,848.08,44747.79,1851.41,45442.51,2948.80,217275.86,825.86,129.82,6.30,5.86
180,?,?,?,?,?,?,?,?,5.86,?
181,?,?,?,?,?,?,?,?,?,?
182,848.80,44769.00,1835.70,45461.06,2963.91,163095.90,525.90,98.40,?,5.90
183,853.37,45533.94,1831.78,46254.71,2981.48,147115.69,565.69,82.91,5.90,5.69
184,850.45,45184.98,1823.41,45899.36,2971.57,92855.61,385.61,51.39,5.69,5.61
185,855.94,45613.75,1818.75,46344.42,2988.19,106485.65,285.65,59.69,5.61,5.65
186,851.88,45110.89,1805.32,45805.34,2977.06,224985.82,645.82,130.67,5.65,5.82
187,?,?,?,?,?,?,?,?,5.82,?
188,?,?,?,?,?,?,?,?,?,?
189,849.30,44534.34,1768.95,45172.40,2948.16,174485.82,525.82,98.89,?,5.82
190,842.60,44342.23,1782.40,44969.23,2924.69,44465.75,285.75,25.50,5.82,5.75
191,844.03,45068.55,1817.53,45727.71,2962.09,80285.93,255.93,46.19,5.75,5.93
192,845.84,45712.72,1810.46,46390.36,2992.86,254345.90,565.90,152.34,5.93,5.90
193,849.99,46150.78,1837.14,46839.89,3017.66,207355.99,435.99,121.12,5.90,5.99
194,?,?,?,?,?,?,?,?,5.99,?
195,?,?,?,?,?,?,?,?,?,?
196,850.04,46218.05,1814.28,46922.43,3022.70,253375.68,545.68,143.92,?,5.68
197,847.84,46155.10,1823.37,46860.35,3017.11,177525.63,365.63,100.44,5.68,5.63
198,845.85,46287.08,1818.62,47003.76,3021.27,260135.47,795.47,136.36,5.63,5.47
199,845.70,46221.23,1819.97,46919.83,3023.16,156815.20,615.20,81.14,5.47,5.20
200,848.06,46399.74,1818.57,47120.88,3019.85,248524.89,774.89,124.12,5.20,4.89
201,?,?,?,?,?,?,?,?,4.89,?
202,?,?,?,?,?,?,?,?,?,?
203,849.27,46361.70,1824.40,47075.43,3021.70,162864.65,624.65,76.85,?,4.65
204,852.44,46714.43,1824.74,47454.90,3029.97,359764.36,1014.36,159.62,4.65,4.36
205,858.02,46835.98,1835.56,47575.74,3050.63,289584.38,654.38,128.47,4.36,4.38
206,858.31,46713.02,1829.12,47446.69,3036.16,167794.39,324.39,73.73,4.38,4.39
207,858.83,46258.91,1830.71,46981.22,3015.00,672064.70,1444.70,318.98,4.39,4.70
208,?,?,?,?,?,?,?,?,4.70,?
209,?,?,?,?,?,?,?,?,?,?
210,862.18,46480.62,1842.00,47214.30,3032.94,68124.70,344.70,32.42,?,4.70
211,870.15,46663.41,1839.88,47398.08,3038.42,115694.65,474.65,54.50,4.70,4.65
212,878.25,46925.65,1831.05,47676.43,3046.08,215794.74,744.74,102.49,4.65,4.74
213,881.30,47370.81,1808.90,48147.76,3060.17,192524.84,604.84,93.16,4.74,4.84
214,884.10,48325.33,1853.85,49133.14,3110.79,198485.04,625.04,99.93,4.84,5.04
215,?,?,?,?,?,?,?,?,5.04,?
216,?,?,?,?,?,?,?,?,?,?
217,891.59,48458.44,1867.91,49272.86,3127.41,111405.00,405.00,55.35,?,5.00
218,891.86,47942.81,1866.84,48742.34,3127.38,1187244.40,2594.40,528.58,5.00,4.40
