%310
@RELATION RESPECT
@ATTRIBUTE day NUMERIC 
@ATTRIBUTE djia NUMERIC 
@ATTRIBUTE nasdaq NUMERIC 
@ATTRIBUTE eurostoxx NUMERIC 
@ATTRIBUTE dollar NUMERIC 
@ATTRIBUTE euro NUMERIC 
@ATTRIBUTE gain NUMERIC 
@ATTRIBUTE price NUMERIC 
@DATA 
284,15237.11,3791.87,3791.87,3.0850,3.0850,453536.94,2661.10
285,?,?,?,?,?,?,?
286,?,?,?,?,?,?,?
287,15301.26,3815.28,3815.28,3.0936,3.0936,234769.70,2675.90
288,15168.01,3794.01,3794.01,3.0893,3.0893,556704.60,2683.73
289,15373.83,3839.43,3839.43,3.0854,3.0854,404271.58,2702.27
290,15371.65,3863.15,3863.15,3.0625,3.0625,308329.68,2679.30
291,15399.65,3914.28,3914.28,3.0506,3.0506,355672.67,2678.15
292,?,?,?,?,?,?,?
293,?,?,?,?,?,?,?
294,15392.20,3920.05,3920.05,3.0620,3.0620,460857.99,2745.49
295,15467.66,3929.57,3929.57,3.0564,3.0564,538436.65,2758.85
296,15413.33,3907.07,3907.07,3.0385,3.0385,393055.33,2750.28
297,15509.21,3928.96,3928.96,3.0323,3.0323,308385.96,2782.11
298,15570.28,3943.36,3943.36,3.0326,3.0326,354425.84,2761.93
299,?,?,?,?,?,?,?
300,?,?,?,?,?,?,?
301,15568.93,3940.13,3940.13,3.0271,3.0271,278512.90,2780.66
302,15680.35,3952.34,3952.34,3.0436,3.0436,390660.69,2786.77
303,15618.76,3930.62,3930.62,3.0433,3.0433,444851.65,2758.82
304,15545.75,3919.71,3919.71,3.0507,3.0507,426799.82,2721.32
305,15615.55,3922.04,3922.04,?,?,?,?
306,?,?,?,?,?,?,?
307,?,?,?,?,?,?,?
308,15619.64,3943.52,3943.52,3.0436,3.0436,331009.28,2737.86
309,15630.45,3941.67,3941.67,3.0981,3.0981,354912.13,2720.82
310,15733.62,3928.06,3928.06,3.0896,3.0896,370442.76,2744.41
340,15773.258690459654,3955.732892747954,3006.5164887559176,3.242646836230678,4.274749244608683,?,?
370,15916.432538019446,4014.2969659541477,3038.5361136515453,3.243445977637349,4.281527215426011,?,?
400,16059.606385579236,4072.8610391603415,3070.555738547173,3.2442451190440202,4.288305186243338,?,?
490,16489.127928258607,4248.553258778922,3166.614613234056,3.2466425432640333,4.308639098695322,?,?
670,17348.17101361735,4599.937698016085,3358.7323626078214,3.2514373917040587,4.349306923599286,?,?
